outcome,predictor,beta,SE,t,p,re_var_intercept,re_var_slope,n_obs,n_subj,converged
anxiety,S_z,-0.674091263304979,0.05007962376789357,-13.460389926833757,2.675008419797303e-41,1.5210858149760014,0.4889306932416795,5274.0,293,True
confidence,S_z,0.7127865400416981,0.05292274406755745,13.46843502921551,2.398968514610691e-41,1.5799478464476278,0.5740208038658424,5272.0,293,True
anxiety_eps_high,S_z,-0.40587158419490055,0.8551756411614323,,,,107.50483045367244,,147,OLS_split
anxiety_eps_low,S_z,-0.6932763467227598,0.06871017858135406,,,,0.6892789415395087,,146,OLS_split
anxiety_eps_moderation,eps_group,0.2874047625278593,,0.33272901592097276,0.7395784153894017,,,,293,ttest
