subj,F1,F2
1,0.24820617136112788,-1.4433487312853377
2,-0.9003471222837268,0.9328436589241335
3,0.34289190441255774,0.8747890845696998
4,-1.0054075903522046,0.06160416653378797
5,-1.052637973037529,0.8771005698242548
6,0.16116253548310688,-0.46558039859711786
7,-0.6880655947544568,-0.2177963740293985
8,-1.3057865688038355,-0.6953589643810365
9,-0.01460872978700749,-0.8807999829725538
10,-0.7148412046853613,0.8198019590123805
11,-0.4806940555667016,-0.36869228905708046
12,-0.5959856355095794,-0.6462698904839159
13,0.8715704310494681,-0.9947150953642787
14,0.4232274247815333,-0.6611717980983469
15,-0.9477135983926589,0.6423780377671865
16,-0.7698856845164509,1.0514529606009464
17,-0.720770270974707,-1.5992668277383892
18,-0.4463861189122914,-1.0995970072238448
19,0.7411955612812773,-0.49250104115210586
20,0.808961048164968,-1.7672334528846099
21,-1.0263384231960628,-1.1264913586606804
22,0.630340535156225,-1.1087427087631747
23,1.0839244863641275,-1.3318346758051685
24,0.9639972470276043,-1.1511708144164075
25,0.7383161168936191,-1.4519606676800898
26,-1.104999395839793,0.321229838979724
27,1.216762994580248,-1.9555566299885783
28,-0.0232979087330252,-1.3937440731602342
29,-0.10758914516160464,-1.1133198201239476
30,0.6106518734372288,0.22548427465276907
31,-0.6212840589720725,0.29970329094225956
32,-1.0059899599083435,0.40094847949899054
33,-0.479015038785536,0.7915289087842778
34,1.7952731352779332,0.023573699888081393
35,-0.9569602657087225,-0.16982940535163144
36,1.0157298101968626,-1.8262912293732616
37,-0.8535946319784758,0.17006989950938572
38,-0.36868305666635015,-0.03696084063244665
39,-1.0307010532491432,0.26254877603986876
40,1.1650903276850517,0.2960415945719938
41,0.6420307048995422,-1.1346191269769643
42,1.4042517075987087,-0.9401272393590098
43,-1.0614473087405825,0.27468875045083796
44,-0.7330860949204281,-0.40625847642797774
45,-0.76576947576613,-0.34000286741224905
46,-1.004976294816513,-1.3955400770947577
47,0.023400649076262443,-2.1290621445148483
48,-0.481770141903581,0.408575291018812
49,1.9637228130943183,-0.5081053976927012
50,1.105213804785578,0.004349065363267272
51,0.35847657324489124,-0.028085095753729226
52,0.4419839940643642,0.6744757449861178
53,3.244659752176101,0.25736682724520543
54,-0.6812750272919402,-0.32374995746478713
55,-0.9484505496870267,0.2520891344025763
56,0.7688246521771243,-0.15842025549497774
57,0.6309291531179346,-0.9860384829905842
58,-0.24529976379551008,1.2960646477807034
59,0.5309034310091882,-0.351477287480661
60,1.4024610404785287,-0.6395515722076233
62,0.09115012076669787,-1.2786742188544076
63,-0.8514289079824822,1.1840393698993938
64,-0.5582927492297077,-0.6336643414587791
65,-0.7486092270531113,-1.3573101787596729
66,-0.748241972851014,-0.08986660942004016
67,-0.919460636793889,1.1624284062696812
68,-0.5172686193640498,0.44528095127803385
69,-0.4483298492452362,0.6921800376393283
70,-0.289377771329186,1.4781326628825033
71,-0.6798005375373372,0.04573908396543847
72,-0.4589625889524179,-1.7500965276282519
73,-0.7958520012729603,0.8886041922677255
74,-1.0007214492229939,0.5719013251403061
75,-0.46619618847491906,-1.2918783211861966
76,-0.17392510556076002,-0.31226314597580596
77,-1.059019153412454,0.8110076068181874
78,-0.8671719762423129,0.1290634435609505
79,0.15373684334023824,0.07994055885920764
81,1.2767926655387218,-1.486528770378694
82,-0.4821553333388288,0.6542342403030181
83,2.920791691847462,0.7638953648624508
84,-0.7442230117383613,0.41377310671106066
85,-1.0516903006222356,0.3643880481349207
86,-0.9629319642338949,0.980656550406295
87,-0.6065691753800102,0.5635711949002009
88,-0.8762729216752586,1.0217986880441414
89,1.2640876852713279,0.06877791066227927
90,-0.7272749044202697,1.2731264455378533
91,-0.7933040969508142,0.7467026660054557
92,0.00025583459995688824,0.4897963259724604
93,0.6449714509148584,-1.1479091899423595
94,-1.01495405114553,0.8289538800884619
95,-0.8709225855175672,0.22050296725055463
96,1.7248206857706723,0.8250460152380737
97,-1.0033403460541959,0.8133529656992101
98,-0.9934277477935074,0.9018731300670232
99,-0.4787338456708115,-0.8355401996908185
100,1.0094566580611521,-0.4538595865976611
101,-0.8143294892230146,0.4937463842927536
102,-0.5811418545951282,0.45682588076910946
103,-0.7278260035448976,0.3192583586222734
104,1.3888824721024542,-1.1277280894234822
105,-0.3935889611442148,-0.10457702298972625
106,-0.0494746109655973,0.1746798821037715
107,-0.484264522800802,-0.9126876656146198
108,-0.9253701619920367,0.6860443344623338
109,-0.7689284147866411,0.8895933872116984
110,0.18901842482492823,-1.465926525388819
111,-0.7190347685481837,-0.4931784823208843
112,1.435175151691293,-0.9094701957473593
113,-0.7504610184031063,1.0879777260894394
114,-0.7610845467616109,0.7702448300497696
115,0.8099857370350596,0.36020443434140864
116,-0.9560620626754055,-1.80086905374574
117,0.06674493594017519,0.2964707052016463
118,-0.13677881063593317,-0.7863957823124503
119,1.0400890145458073,1.833695605829197
120,0.39063525434712393,-0.5151748471330391
121,-1.1273026382524394,-0.2847132305381031
122,-0.5490140698123896,0.6411472136963515
123,-0.35163422194179245,1.1224238071911377
124,-0.223030580427123,-0.41987985301967196
125,-0.308271757578673,-1.1831305631768134
126,0.058621920981464896,-0.177759471131113
127,2.192024903589004,-0.5203807655101808
128,-1.1704914278247867,0.24076831480279176
129,-1.3564751104600719,0.10008956691709181
130,0.006385894904290455,-0.9053677723673449
131,-0.585253640694158,-0.4277301928207746
132,-0.4164396808182748,-0.18489328599700666
133,-0.4872727686994155,0.5854682915333563
134,-0.15872208463669701,-0.4884755635553583
135,-0.832683753431292,-0.24469759998248672
136,-0.34931630104065364,-1.199527338675737
137,-1.1811918925474914,0.211451341713579
138,2.0572425736836157,-0.43010859309150684
139,2.1902713798250693,-1.3872821977698835
140,1.5016452746466284,-0.517413970062164
141,-0.800299579345305,-0.5852311749781894
142,-0.6520609615887615,0.7806405975050104
143,-0.22805076874276414,-0.5263584597695073
144,0.6162005751164483,-0.28281820574068584
145,-0.6214779466435765,-0.7092777218192323
