subj,k,c_death,epsilon
1,0.24093007787613574,0.4608720738065027,1.2592046097658434
2,0.2407982065536554,0.5735808400284947,0.04986087343412687
3,0.24017352394344946,0.20769414966184768,0.5789423736681789
4,0.2407622366181536,0.2167704325687882,0.8017936288883664
5,0.24020153900726918,0.06497927257524233,0.6765750529725034
6,0.24110788965494198,0.46442450886748926,1.2815701067728325
7,0.24068413738548383,0.2662408742060932,0.5940934181583722
8,0.24017994695916767,0.6053075764843456,0.521437329914046
9,0.23954956182769765,0.28547447926439395,1.036800079180505
10,0.23934646343827584,0.5811998462479036,1.6378659227827275
11,0.24083492357982902,0.30186288517225857,1.0840292257603412
12,0.2407920994580936,0.39864924597382423,0.699576193768071
13,0.24077634868660394,0.17005202375350967,0.762169338080454
14,0.23993474965455852,1.0718881628299952,3.8266236234714452
15,0.2413556480820784,0.6585846293964169,1.4345826415256513
16,0.24082254380098653,0.7897167462032552,0.1467640568057099
17,0.24080843191429094,0.24344740564761053,0.3363578951296461
18,0.2414263411453553,0.2292426688587467,0.9218540722293709
19,0.24034361439782523,0.2874643536956389,0.2538425012326263
20,0.240756517579896,0.26080196545075623,0.6348337897436513
21,0.24067049884908534,0.1780965846703136,0.8258277719492338
22,0.2403941312844586,0.16659199755818477,0.8208286722104391
23,0.24119585417495668,0.5689199717213923,2.561137487307452
24,0.2395312438616681,0.069896974970958,1.0208189795813498
25,0.23997416216530115,0.4495403082518098,1.1358016740807324
26,0.24118393501650853,1.0805418922719945,2.8959322514252896
27,0.24134395021399857,0.3848411162805247,0.6963711932764279
28,0.24025024350724197,0.36661064746177047,0.9848533764876085
29,0.2413515982666179,0.2411328891177402,1.6954505037502217
30,0.24071662622920173,0.2109737979881147,0.6235555007153273
31,0.240336033990663,0.11481200852990732,1.027461411233553
32,0.24114841318239683,0.6393980752050387,0.05825173381542953
33,0.2394400924816392,0.1046997084444016,0.7328199667836451
34,0.24096187896836826,0.2970303308519495,0.16291363132877107
35,0.24098950546237669,1.07010456029627,0.9018458262278889
36,0.24040720973837615,0.21099864469581464,0.8244894536314425
37,0.24061234449164867,0.6709547859490437,0.3217537915086716
38,0.24139860372145977,0.2691256640421762,0.8011923350772011
39,0.23910329431648783,0.04149725327559856,0.8371008405694572
40,0.24022916680840714,0.1063333642009865,0.6375608269850832
41,0.24085616350496852,0.48557488843867297,0.10363922336290986
42,0.24180810343339967,0.30609145311676506,1.9219901843440932
43,0.2410762000920588,0.6185113972207101,0.42880696632662735
44,0.2403829573041117,0.27018189852914065,0.5322637900201547
45,0.24087040004663954,0.4044627581295053,0.4145843116850349
46,0.24069632222727058,0.4030642685484501,0.4916099538879445
47,0.24102239721667956,0.10693900441602057,0.3132317310575878
48,0.24080000198845308,0.41080936124413375,0.7374584628299563
49,0.24166682512746993,0.32699779173394167,0.9436243776133894
50,0.24148742026560427,0.31435592407698953,0.6451748715596166
51,0.2410978997809097,0.1945401149799848,1.8464228742697
52,0.24079029454028852,0.5497647550282586,1.4180541611560749
53,0.24114286691048895,0.5031283719804761,0.5020957460690375
54,0.24246231830947026,0.1755430946462901,0.34127982034045823
55,0.2414764068107381,0.668547207972022,0.07304230062314321
56,0.24056271092949658,0.31222040056515954,0.7541776668986664
57,0.24012555106210443,0.22628767062260996,0.10160548487111346
58,0.2402377560099831,0.2674998595964654,0.5404384453088663
59,0.24049471578419526,0.2508248127259015,0.33197585784149375
60,0.24107366280653275,0.10574383101700259,0.08858902529833855
61,0.2408433708003037,0.3178753913228215,0.676227411065305
62,0.2414427222949919,0.04102219257476901,0.14598006277981354
63,0.2408681144968749,0.33261140980375886,1.371314520015647
64,0.2412860582016279,0.5701822106891098,0.629489060430812
65,0.24138377357090865,0.42090392689570394,0.7601109613625759
66,0.2401928839919425,0.03917627225433006,0.608441728307009
67,0.24030261160434327,0.06223693538085257,0.15512768357447712
68,0.24161029702185413,0.10120155569011251,0.05916851959561293
69,0.2410700701703488,0.33879506136563414,2.087422269210011
70,0.24070096120770618,0.5727161216229189,0.16689881039928653
71,0.24125554568452684,0.22261314878790292,0.29377194340607254
72,0.24158319920793933,1.133554067566666,0.9831776442413185
73,0.2406907400234831,0.4103949761478257,0.6837757853319952
74,0.24004345117593728,0.6225722726459472,0.052676614433919584
75,0.2403674694345847,0.29400344939121287,0.37316085209589017
76,0.2403660226759362,0.14719133891737993,0.5029972770439615
77,0.24081585229998145,2.0572598727907065,2.8772383846406084
78,0.2404087249350753,0.388138248685354,1.2562656973951625
79,0.2415115165995231,0.581500886765626,3.524871981735777
80,0.24066023009897192,0.4985550458035322,0.15135240821876364
81,0.24003697171884172,0.24454194313598898,1.0218279676710975
82,0.24049937126823404,0.49029649921510554,0.08282138506419903
83,0.24023246472600282,0.027219402285118773,0.5121948552754604
84,0.24142987954097114,0.3361616933220849,0.06414423200887498
85,0.24092331552244522,0.23216193688451167,0.15649314400009767
86,0.23989387767833167,0.07383232327226148,0.8724220205187226
87,0.240397500495579,0.13078558822836223,0.874806702727506
88,0.24085033661995026,0.4401115866353745,0.8082372882722915
89,0.24116034709593262,0.4331908704401366,0.7090075721968919
90,0.24076843762699351,0.08730531648138853,0.9462289953884379
91,0.24058505394321675,0.05364156552393937,1.9624060767420406
92,0.23944931537327108,0.10723730839369186,0.6289176527400344
93,0.2416333285843413,0.08759796731692822,0.9136133764698052
94,0.24058664526474463,0.3973078077021601,0.215281923779876
95,0.23999084552344344,0.3704507898963954,0.2384825085493112
96,0.24027327029887252,0.05424803627483304,0.7009429985497807
97,0.24027745720870905,0.05311677843099263,0.10409784026392953
98,0.24124817463132653,1.3149203617321688,0.0922445436991423
99,0.24098621483379198,0.3025166379843092,0.14471550064886893
100,0.2402972194104617,0.20455992189331543,0.6197538466120642
101,0.24156241176595186,0.4150446634786891,3.6065952039276654
102,0.24149189733660886,0.3653275392418643,0.649642191863161
103,0.2411368393379499,0.07741106735433945,0.9968323547447584
104,0.2408124693152376,0.617069648167843,1.1352863030356377
105,0.24087347330822317,0.26268838146151896,0.5598391439336364
106,0.2410813436084063,0.0990833744108332,0.8587915012824452
107,0.24113816970867047,0.23180220646259475,1.5507217929721822
108,0.240458669432588,0.374818101572538,0.7933329117373039
109,0.24175766085759096,0.2961938045481186,0.9584506537370105
110,0.24084689483779284,1.023568561822956,0.5009334357718367
111,0.2395831359678798,0.31527862687464675,0.07156494072644032
112,0.24003483700678216,0.3556650510855965,0.8168876008172007
113,0.24060444033448372,0.1385934823796667,0.14212134836325244
114,0.24089494673554324,0.26725523998730044,0.5337356135752022
115,0.24087848774679962,0.1915904024201045,0.6013647371395672
116,0.2403230095961398,0.2703296426927678,0.3519864275822489
117,0.24140465321911111,0.5081339757059602,1.2322061171383942
118,0.2406115275013398,0.3219456895534365,0.1720378226617853
119,0.2410696814674812,0.6485278894682469,0.2964287464492299
120,0.24102404560121415,0.21736673073071894,0.7770871150863885
121,0.24085776895643843,0.41919035515968084,0.2714034949383884
122,0.2410993524512229,0.8564873789164884,3.667732115973444
123,0.24143930442660644,0.328465695674447,1.643318299542345
124,0.24105997515103494,1.4787102760568593,0.6334269752546376
125,0.24014245823602298,0.2779942160742147,0.5095038880040507
126,0.24134015814418908,0.3349688227661144,0.8526263977156264
127,0.24083538340846075,0.36303920305530196,0.3619608622438289
128,0.2410020892948073,0.4517524235356765,0.8652114866640125
129,0.2408413984865507,0.31434601308806276,0.8727514113429443
130,0.23994809510527035,0.06711544468384281,1.5353155087578605
131,0.24081270894946888,0.14564944023993615,0.9885069155017752
132,0.23919047733808751,0.10541495129165276,0.5517059264252088
133,0.2416730721861535,0.1266125904105652,0.7997430191422104
134,0.24064682719072578,0.7878411620625696,0.05510625922676901
135,0.2414083693555138,0.1573269268111231,1.0169954881022425
136,0.24027367370109148,0.10398275754296515,0.721836876478697
137,0.24149182446974904,0.1696177918999631,0.9452530402498294
138,0.24011070732168205,0.1808179596637373,0.9569231696682827
139,0.24052970796874637,0.48740176696524246,0.39569375608876
140,0.2411724122510063,0.2030089613402195,0.833092302914185
