subj,k,beta,alpha
173,2.2605636,104.82155,0.7418462
174,2.3117912,93.59426,0.4025532
175,7.5676866,47.755768,0.4523996
176,2.1638184,26.024794,0.77558315
177,1.8122149,35.779842,0.6724196
178,1.684337,31.811888,0.2132496
179,6.107031,48.886734,0.059674226
180,1.5097272,78.98673,0.4287133
181,3.1899157,46.064568,0.42116755
182,4.201313,186.54163,0.6923729
183,3.1131039,67.8524,0.73171926
184,23.29383,38.236435,0.40566194
185,3.1894157,154.79068,0.25536403
186,11.774096,45.388313,0.14303815
187,6.196924,68.73906,0.44194832
188,22.462198,59.684605,0.4763373
189,11.999797,41.617702,0.8257734
190,2.622733,87.02058,0.3043162
191,6.4388847,147.31186,0.5620064
192,4.3940325,32.812607,0.4718392
193,4.464554,54.272667,0.19841933
194,4.994891,30.19936,0.294799
195,4.9305086,51.317272,0.5518812
196,1.7721081,58.98715,0.6863782
197,0.9264972,25.585234,0.44728112
198,2.540459,46.87257,0.7450918
199,9.670149,100.48493,0.7577814
200,2.2519495,23.611546,0.5816806
201,3.2223432,47.35717,0.28017542
202,4.74762,38.602386,0.6480043
203,7.7115183,40.06285,0.47706753
204,1.9886419,62.780567,0.5843634
205,2.157337,114.07058,0.628067
206,23.116074,57.411728,0.08893131
207,10.597477,79.931595,0.7944848
208,1.9692583,47.15155,0.41306743
209,6.173352,29.206467,0.40564167
210,4.3590813,49.80043,0.043955028
211,2.0865593,98.624344,0.31926543
212,1.4641577,82.100784,0.15485995
213,6.581213,47.436825,0.40137583
214,1.4297903,36.66333,0.7053908
215,7.1962175,100.72162,0.77980286
216,5.8992987,137.15761,0.66823786
217,3.9249768,42.943665,0.1042504
218,1.4388441,51.074104,0.66155714
219,5.4421363,54.06158,0.5936671
220,4.200481,171.18837,0.5710562
221,6.248881,43.84202,0.20328234
222,6.5708895,82.289894,0.5341006
223,2.3938813,27.896473,0.38283244
224,0.97448367,19.112999,0.5729971
225,1.7099627,39.902428,0.7229873
226,23.222466,44.58978,0.24457103
227,3.812702,27.121346,0.46349543
228,5.398393,89.68453,0.32475895
229,1.5047746,53.57286,0.53751
