parameter,mean,median,std,hdi_lower,hdi_upper
tau,0.4372479701893635,0.4356052166440049,0.033271223429609836,0.37760939875557475,0.5015604021137331
mu_k,1.5406353297630193,1.539449725077815,0.12348776996598972,1.3076670525730592,1.7681327167322227
sigma_k,0.8087514870461467,0.804436980994746,0.07022988024420315,0.677101736778265,0.9399354945322811
mu_z,0.29721068887831803,0.29628411619639033,0.036088903486141605,0.22720592202583703,0.36328758327619814
sigma_z,0.6904116692462058,0.6866511156651172,0.0667137010446102,0.5697333477375719,0.8169397750195726
mu_beta_log,-0.18845422192905759,-0.18866250714652086,0.08486451924329655,-0.351023231095634,-0.03380527660050357
sigma_beta_log,0.9566272204052447,0.9548827388933654,0.056177856472384484,0.8501626684128504,1.0611419919191476
