subj,c_death,epsilon
1,0.9541259146230867,0.3762676445197112
2,1.0878694805039446,0.011906261810694032
3,0.4514359785729078,0.134664054935649
4,0.5625542942433011,0.28065747441370814
5,0.19538278841767331,0.2635583220956498
6,0.8971475313585032,0.3932287279938902
7,0.6321948870036465,0.15147207210043662
8,1.4289939918118308,0.13590011454966391
9,0.6186057578857082,0.3242108765263943
10,1.1203500911213706,0.4917972993771617
11,0.6659282619682698,0.3677537047125006
12,0.8482847464482038,0.16614946621829196
13,0.43533839176077027,0.2823445481744292
14,1.4800712935386324,1.480547152304268
15,1.234795074105497,0.4308789830252163
16,1.7732395417282585,0.037595729979769774
17,0.5574291298628109,0.09062696628943508
18,0.5537517402706653,0.30685360507510046
19,0.6517214165149048,0.08021448969681831
20,0.6617400560610854,0.20833076143941015
21,0.4018474454737501,0.23071059931872487
22,0.43452965975551133,0.2749122452296554
23,0.8575828171913737,0.9288525294658005
24,0.21336256358335218,0.4170039014201222
25,1.0133791693561245,0.34481931579773856
26,1.669228236712037,1.0354400922096716
27,0.8695101316146745,0.19290602458046033
28,0.8364703063314939,0.3166355983956536
29,0.43256989581468236,0.633961913216506
30,0.5099698330944226,0.20428070267600126
31,0.2978184935473777,0.33796348842200963
32,1.3441310677465161,0.012791177120228299
33,0.2935459372840577,0.23289405038771965
34,0.584375753127812,0.04707154534232194
35,2.384401079802143,0.22208210825613406
36,0.505320260817095,0.26291732630401343
37,1.4435411800421163,0.07477657221280239
38,0.6312369033716885,0.24773791055150574
39,0.1140180165023902,0.31690358023044163
40,0.28060237683780376,0.18719882591017054
41,0.8871785897581508,0.023888727144042225
42,0.5288481621981919,0.7302344556865814
43,1.3095987998687595,0.09157950464676215
44,0.6147447582763781,0.10180046567553383
45,0.8953880079137648,0.0986197809071707
46,0.9527962968104025,0.15002014910147618
47,0.24402304304733943,0.0976786152510036
48,0.94727391820711,0.22127597360183351
49,0.7490704800324051,0.3217297148147361
50,0.6888075735823016,0.1576299408860943
51,0.3849322239861583,0.7296971032911492
52,0.9646658811737973,0.4292305917092107
53,1.1478232370167918,0.12937402807004136
54,0.39637186653497347,0.10835180454596142
55,1.3584536974571126,0.017634381013528103
56,0.7237721895021271,0.2266372193909089
57,0.4056520205297379,0.027932770050995696
58,0.5991469644672233,0.15517075277924688
59,0.5214117904177453,0.08229459005232537
60,0.22925394125075452,0.03186662738690449
61,0.7111518425222482,0.204025229801879
62,0.09918041056601391,0.06745291020308083
63,0.7093438278739325,0.4904959304965832
64,1.2848076939991888,0.18284693608439115
65,0.9166359440428553,0.20362578671203646
66,0.107996513427582,0.24939791995081234
67,0.13814476908706202,0.04778632190883267
68,0.19246749842525143,0.020918614073781264
69,0.54453196675882,0.8186915137084773
70,1.2179003693148702,0.041777469649257
71,0.45537267891102007,0.09135513153715663
72,2.338073779981907,0.23785497761781269
73,0.9427585362954107,0.21555767772777448
74,1.276557207217482,0.01329372426092499
75,0.6546265813522179,0.10895538573031
76,0.3273450930948422,0.12439579580161056
77,3.52674150420242,0.9870811958466187
78,0.8483096303625116,0.4098483469454749
79,0.7767670060881321,1.545656607940036
80,1.047096749861502,0.04077150135527732
81,0.6002696960144251,0.37187465509213113
82,0.9564655609552527,0.021646407537888296
83,0.07632818508015463,0.2427571114812683
84,0.695932868236286,0.017937157082098882
85,0.5013797577359355,0.046155043345207356
86,0.22403061442578798,0.3149746472080781
87,0.3443288995182875,0.29149013363896725
88,1.036767133037115,0.2279525369565188
89,0.9029168375255274,0.1746333172833207
90,0.23939841415487143,0.3209810697862473
91,0.12035595717540597,0.7989856242114867
92,0.30330405226430807,0.21015021085025942
93,0.22866660930742436,0.308066430649078
94,0.9167559788000104,0.06585674591420328
95,0.8156948040360701,0.06203841419628464
96,0.1546447768416346,0.2881083496520963
97,0.11975543129340588,0.043864070748581334
98,3.0202177895536755,0.01991951925568542
99,0.6413890738347878,0.035073870215177334
100,0.5339437247915854,0.24938142905623575
101,0.5159906508741847,1.65024796274859
102,0.9284450656151386,0.2264640036492756
103,0.22442299673038288,0.32858845570317824
104,1.2445395864558826,0.31883552231795365
105,0.6524984276871757,0.15401148246204557
