model,ELBO,total_params,BIC,dELBO,dBIC
L3_add,-6275.436232910156,592,18167.078844302443,0.0,0.0
L4a_add,-6276.555751953125,592,18169.317882388383,-1.119519042968932,2.239038085939683
L3_add_Escaled,-6568.281704101562,592,18752.769786685258,-292.84547119140643,585.6909423828147
L4a_add_Escaled,-6608.580393066406,592,18833.367164614945,-333.1441601562501,666.288320312502
