name,description,n_subj_params,n_params,bic,delta_bic,final_loss,choice_acc,choice_r2,vigor_r2,subj_vigor_r2
FINAL,EVC 2+2 (full model),2,597,32133.433079448114,0.0,12857.215037261594,0.7929199444701527,0.9512949270533957,0.5110936824319456,0.6872270557997749
M1,Effort Only,1,298,50791.60185994817,18658.168780500055,23793.738203451783,0.7104735461977479,0.9496603289340408,0.0003364331132346986,0.006200852696728109
M2,Threat Only,1,301,,,,0.5670985654789449,,,
M3,Separate Choice + Vigor,3,890,42525.82797861869,10392.394899170577,16478.23000741388,0.7906833256208545,0.954613872407675,0.44010226632034544,0.9998690237617792
M4,Population ce,1,303,30859.59720434918,-1273.8358750989355,13800.855628562987,0.7239703840814438,0.0007209668627040852,0.5121733875852879,0.6881542000342741
M5,No gamma (gamma=1),2,596,34204.17459703733,2070.7415175892165,13897.961845474063,0.7921486965910843,0.9545408517457039,0.4245466857877167,0.667580637232442
M6,Standard u² cost,2,597,31991.25793577804,-142.17514367007243,12786.127465426558,0.7952336881073577,0.9516337235222581,0.5076269376767416,0.6897463398700415
