dataset,elapsed_s,c_effort_r,c_effort_p,c_effort_log_mae,c_effort_log_bias,c_effort_coverage_1sd,c_death_r,c_death_p,c_death_log_mae,c_death_log_bias,c_death_coverage_1sd,epsilon_r,epsilon_p,epsilon_log_mae,epsilon_log_bias,epsilon_coverage_1sd,gamma_true,gamma_recovered,gamma_sd,gamma_abs_error
0,60.30048704147339,0.16967811040060454,0.23878688556594527,1.4841719975357386,1.3981657947716402,0.08,0.9602906594924873,2.9176968046590616e-28,0.20854182495287815,-0.09524549105687928,0.58,0.9268967926284317,4.588707632107187e-22,0.6389186946164799,0.628415342517329,0.08,0.283,0.2600551871955407,0.00637386186100799,0.022944812804459258
1,54.1168212890625,0.1041165637303782,0.4717999910717903,1.8335414096851104,1.8335414096851104,0.0,0.9431571687742212,1.3176756015317948e-24,0.16962954285754211,-0.02806401968703182,0.66,0.8869159210364095,1.019870776269875e-17,1.1468065607932139,1.1468065607932139,0.02,0.283,0.27739943831748537,0.006143246738137114,0.005600561682514604
2,68.05415201187134,0.12712936585047035,0.3789780443573485,1.5846891372828005,1.504004637842892,0.04,0.9702223781966857,3.2611651767500823e-31,0.1580415512032082,-0.014047718757239874,0.62,0.9361855791424939,1.9555047060247442e-23,0.8988645491124464,0.8988645491124464,0.06,0.283,0.2678887122109072,0.006027747102939337,0.015111287789092764
3,69.07870078086853,-0.2666350126178948,0.06124114658955602,1.9582885252711133,1.9121143829118576,0.0,0.8436340535690432,1.4623674250385237e-14,0.19743507175814543,-0.0276131063306484,0.62,0.9551315184487984,5.163919112706334e-27,1.009417921593178,1.009417921593178,0.02,0.283,0.2708844641346753,0.00606048886559589,0.012115535865324656
4,70.9115891456604,0.44525082724831533,0.0011950130786743355,1.3019649702492877,1.2521485093085962,0.1,0.9297232820991256,1.839532383289395e-22,0.23402457803297214,-0.15908631749770044,0.3,0.9030174912552248,3.080952967026156e-19,1.0951622392641953,1.0951622392641953,0.0,0.283,0.23363255065506672,0.005471509485951607,0.049367449344933256
