subj,v_pre,v_max,alpha,v_amplitude,v_tonic_mean,tonic_threat_slope,n_enc_trials,z,kappa,beta
1,1.0808554,1.0808553695775358,0.010000000383457185,9.664713473966913e-12,1.0634222,0.23216292262077412,42,0.4182297493840085,1.3418040164475928,2.2173812026765427
2,0.417882,0.519588722177875,0.12484983508981953,0.10170672673834558,0.46963355,-0.1252575963735575,39,1.2744270741712531,3.879060808761052,0.895139982286964
3,0.13372894,0.7123120294874402,0.03840148298559387,0.5785830931728574,0.13779604,-0.2499014220398974,39,0.3983702635039089,2.3275049205839204,0.3523958350362968
4,0.8983984,0.8983983993530275,19.998992511723596,1.1102230246251565e-16,0.9769705,0.04070974886417466,41,0.3785853277354705,0.5774029174051979,2.205441705675994
5,0.14131768,0.8729859888936398,0.026321398630420934,0.7316683084155438,1.6596054e-32,2.074498159419681e-31,41,0.2544944633975183,0.9179119069373678,0.460740200696025
6,0.84583265,0.8746945514209207,19.999999928355543,0.02886190552782375,1.0610487,-0.22196158766746413,41,0.4072860675527447,1.581462210174567,1.7712965718685134
7,0.54905784,0.7327739151458593,19.999999999961027,0.18371607384489497,0.70886725,-0.2306999266147607,40,0.2582745980042664,1.9517219177217875,1.1849322245074545
8,0.10226557,0.78203620125642,0.08671256638241921,0.6797706346689719,0.21000823,-0.24887606479978244,41,0.4389235639291188,4.184427799987145,1.5535276093390031
9,0.24384052,0.8673457865344973,0.02539397894732175,0.6235052709209414,0.070317835,-0.16050809994339926,39,0.1657389997499217,4.120519708010268,0.360010329960115
10,0.29488865,0.8664444115430895,0.05041479698182155,0.5715557661325518,0.31975317,-0.2432658150792119,41,0.2873929699762642,0.5744530389325879,6.170478939993395
11,0.025833132,0.8731834095446778,0.05494322461012728,0.8473502777992201,0.21183088,0.18874861299991624,39,0.3485208382183225,1.9657074640501488,0.6998468921155834
12,0.9085175,0.9085174798965455,0.01000000000000001,1.1102230246251565e-16,0.8390149,0.23326128721237252,39,1.214212420483568,1.7543299103260608,1.0490879715886952
13,0.11753628,0.8508511925227787,0.10326551806088567,0.7333149159438755,0.37104264,0.05916416645050078,41,0.1871786626094775,1.354943400023363,0.9287202872404616
14,0.9364016,1.1309426772712168,0.05357411661237644,0.19454107166513768,0.90959436,-0.2556829899549477,40,0.2210634395801867,0.5589590809904431,2.200972210578477
15,0.963954,0.9639539718628732,19.99999999993912,8.026912468039882e-14,1.0549834,0.05216211080551221,39,0.4869392502800209,4.1201569188898555,0.7394484733137351
16,0.42926276,0.6157016545483541,0.045419790423333835,0.18643889724702356,0.27024534,-0.26887908577918984,39,0.4085587005340864,4.680902005784559,1.8507414682986187
17,0.8778176,0.8778175711818325,19.999711208366243,1.8654966460474043e-11,0.793411,0.224879831075669,42,0.455405949866281,1.3687721830017758,1.3106225921195656
18,0.7048805,0.8654207365334368,0.311281059725146,0.16054026053551196,0.7762952,0.17484024167060944,41,0.2205720699057946,1.180794381975226,1.3477042348286072
19,0.18213752,0.8009023332354056,0.05541518480304696,0.6187648141142356,0.24348274,0.012940317392349465,39,0.4611254449530632,0.8543699534867591,2.7710381748294477
20,0.5167558,0.9002508177517307,0.0889407130224931,0.38349499843105195,0.73924696,0.225801095366479,41,0.4864218296128363,0.6044684505488823,2.7637464553331816
21,0.8839407,0.8839406967203938,19.99999913177482,4.085176641410726e-12,0.92336607,-0.18174938857555306,41,0.4257790799120752,1.286945365387818,0.6695842599868582
22,0.93326825,0.9332682490348817,0.010000000000003444,1.1102230246251565e-16,0.89719665,0.10923311114311267,41,0.403549194209585,0.6585592705125387,1.35466435358935
23,0.4312552,0.976643960576591,0.08640332590307648,0.545388769012031,0.49329036,-0.6832178356125947,41,0.3513330713312936,1.0150504053758935,1.0097969366139234
24,0.7300955,0.881792603341783,0.3200352389055302,0.1516970976273665,0.78613365,0.414398759603501,41,0.1715794040434243,0.5870376898997139,0.9709117761565226
25,0.9048392,0.9048392177603348,19.999999961961937,9.752354479530823e-11,1.055488,-0.17788521945476465,39,0.2855688163134447,0.5742935756758285,6.159661625585048
26,1.109237,1.1092369556427004,19.999992966902926,2.220446049250313e-16,1.1087925,0.2994342148303994,39,0.3422358355217793,3.249760063582248,1.0231753118711997
27,0.10227818,0.8158123666166128,0.0461832851663765,0.7135341861962141,0.09965865,0.16443675383925446,39,0.2641200886954921,3.095738354891073,1.1109549191144124
28,0.34079418,0.8822086452398792,0.22497175663608507,0.5414144693766132,0.6257282,0.07564328610897122,39,0.364114893661275,0.6520427944838711,3.646645101278735
29,0.7915323,0.988877299699903,0.15598869363514284,0.19734502163898993,0.91732943,0.041218921542168684,39,0.3499624711122029,1.4220130016995132,0.2980811651328074
30,0.39679444,0.8584208012345254,0.06739203688082629,0.4616263628724038,0.3383861,-0.09045168757438625,39,0.3865912123035048,1.027162692138499,1.2522098988015469
31,0.22578713,0.8286704228417052,0.04396496091278039,0.6028832898632659,0.20995773,-0.2571336924550435,41,0.2161144650608523,1.4107163503294204,0.4210454982099362
32,0.6084045,0.6084045171737672,11.068235882966862,1.1102230246251565e-16,0.5884184,0.07768072187900593,39,0.5244423555962837,3.962290791790163,2.1024234003350384
33,0.6714704,0.8747521300286116,0.08269310837307468,0.20328172635734698,0.70100224,-0.2558416128158561,41,0.4546907197304857,0.5422557095388907,0.9844394543679116
34,0.18218224,0.7031672856520726,0.14090540541657048,0.5209850481461599,0.23718429,-0.1406666636466977,41,0.5181095718280299,2.241784285086499,0.6840868182339338
35,0.10096278,0.8861341447986445,0.041359709996898725,0.7851713643826327,0.077096336,0.19119447097182282,41,0.8449281776724121,4.569057106367232,2.4898450498067404
36,0.93230504,0.932305037975313,0.010000000175394867,1.6653345369377348e-15,0.86810136,-0.5830334499478329,39,0.3997823991543442,1.4900825184992974,0.7492027810319414
37,0.79148275,0.791482746601722,19.999999942680894,6.17284001691587e-13,0.8362359,0.09946793317794879,41,0.5100563769463137,4.340607286783255,1.6377754145345849
38,0.29266426,0.9058860753649983,0.11661275914535778,0.6132218156928334,0.47634172,-0.3708865121006959,41,0.2446194016384747,1.3486494820817712,1.53412652382672
39,0.81407976,0.8579221746192075,0.6814474223296598,0.04384241311408055,0.8223343,-0.3738007694482797,39,0.1436406909248488,1.1889862552495656,0.2113789189291342
40,0.5233978,0.7265149460122037,0.10042529071862494,0.2031171427056241,0.56680816,-0.4765827208757393,41,0.3061187018720704,1.0918620107854726,0.6448127746681589
