subject,mean,median,std,hdi_lower,hdi_upper
1,2.2173812026765427,2.156567849952004,0.7066232784296191,0.9621841296729229,3.5661150462430102
2,0.895139982286964,0.8377561451190687,0.4483487872210192,0.11510888334628867,1.683503810757602
3,0.35239583503629685,0.3177349116356649,0.1950552357572517,0.04323740353734791,0.7042265759622504
4,2.205441705675994,2.174313533947342,0.5948846454447911,1.1023786344129425,3.3114354279087896
5,0.46074020069602506,0.42433208785456333,0.24664630415269265,0.06230064316720645,0.9136829011009066
6,1.7712965718685134,1.7193721073662993,0.6105955937285131,0.6991520110528641,2.956248078665074
7,1.1849322245074543,1.1508943144702048,0.465305022754883,0.3465643124084864,2.050164847042978
8,1.5535276093390031,1.4750896522151726,0.6413075995959072,0.42705300790884526,2.7404658822160073
9,0.36001032996011506,0.33213589338795857,0.18519849260679683,0.06286586806379782,0.7046459031261992
10,6.170478939993395,5.806107138344575,2.0623321171374767,2.7656470811499116,9.962263703915113
11,0.6998468921155834,0.6630020354351815,0.3344969407838044,0.12350251639406276,1.3108016842820602
12,1.0490879715886952,0.9857467132184808,0.5091298379485215,0.16989479516680214,1.9677670225117045
13,0.9287202872404617,0.8990861503943273,0.38100501450557034,0.26176231943141254,1.650268916081521
14,2.200972210578477,2.1755056491174374,0.5736790651908755,1.1127672994438835,3.260868206460094
15,0.7394484733137351,0.6927112914790222,0.3601609564584338,0.12373079409643137,1.3877506707429799
16,1.8507414682986187,1.750952889118522,0.7607379323457247,0.5609609621276231,3.299845190458184
17,1.3106225921195656,1.281770757833152,0.47423212681758026,0.4762784672824826,2.255075519710398
18,1.3477042348286072,1.3228972131356038,0.45647274355364975,0.5175092448313301,2.2195265392745114
19,2.7710381748294477,2.710997424163214,0.7688801451602443,1.419647871626525,4.295665125830859
20,2.7637464553331816,2.7268540797551255,0.7307055274905381,1.342814191891049,4.088245582557866
21,0.6695842599868582,0.6338272823248527,0.3225543050691065,0.09827170724642813,1.2376445955222162
22,1.35466435358935,1.3385912746489912,0.45566551425762597,0.5028295170638053,2.20451083529796
23,1.0097969366139234,0.9793926933100725,0.4069593355450898,0.22739963968798999,1.733131985790512
24,0.9709117761565226,0.9565717888969227,0.3658294216532769,0.2992368552342886,1.6458086778928942
25,6.159661625585048,5.812616729417448,2.0140684404837716,2.852470515417255,9.974005393340551
26,1.0231753118711995,0.9723380698509192,0.4563068230937681,0.24045128923752884,1.876128568408133
27,1.1109549191144124,1.0594433604533018,0.47472950757355736,0.2580675788164414,1.981750036887056
28,3.6466451012787355,3.6101368410262764,0.9120407105490097,1.9779688291508648,5.3531654899834775
29,0.2980811651328074,0.2659122996413159,0.16801314249703272,0.0445316542945864,0.6116840149309376
30,1.2522098988015469,1.2266409951221777,0.44990953468059974,0.43418088247969444,2.0976197565465737
31,0.4210454982099362,0.39043625829228,0.22173267911111116,0.0684406049117848,0.8227711603405221
32,2.1024234003350384,1.966283595197173,0.9327811014096641,0.5529702543863313,3.8274202032894156
33,0.9844394543679115,0.9611466533944374,0.40751668256843293,0.21934056706128402,1.706501549169068
34,0.6840868182339338,0.647174488362791,0.3347933888037743,0.11384537313996983,1.280954564753494
35,2.4898450498067404,2.2633722664606903,1.224588087104373,0.6265759402624526,4.8513923334123685
36,0.7492027810319414,0.7203117086349352,0.34269167078668566,0.13486124991239543,1.3604608911150984
37,1.6377754145345849,1.5533810333193778,0.690220927459218,0.45958096098049883,2.962717354481483
38,1.53412652382672,1.4975204710048544,0.49144614035469725,0.6673848850220752,2.508786294221174
39,0.21137891892913427,0.1879668792186345,0.11978441661914307,0.029018696087165976,0.4293365963574006
40,0.6448127746681589,0.6127964209736715,0.31498242913979085,0.10843629888721927,1.2174520426628483
41,0.6744109793274622,0.6281741773531302,0.3447450060659548,0.09037279164976764,1.2982425815080343
42,0.33349099791166326,0.30221299449097955,0.18382322505606374,0.04775650142965181,0.6681351650145361
43,0.845287916734308,0.8003752930382684,0.41205233408928504,0.12405841711454602,1.5741569662157717
44,0.8565170377379075,0.8217897593526371,0.394932974398236,0.15321926199469588,1.559170398332541
45,1.3049064352603195,1.2572986737882692,0.5274323543872681,0.3654806548425986,2.295411891466673
46,5.513972356748363,5.048540614116364,2.294892608255564,2.0281740305106757,9.74005765776129
47,0.30820409819660066,0.2779801423915483,0.16945029022050634,0.04031442552670464,0.6132193908620927
48,2.4536447233956222,2.3683553588907627,0.8196975931263486,0.9732143651642855,3.9818506889699283
49,2.034294120234209,1.9851431202187393,0.6260152235800177,0.9023172268745266,3.2118028475128666
50,0.9804776452267815,0.948454390964417,0.4238666870997757,0.21673694967281235,1.752521983450903
51,0.7091530352850375,0.6754396428960112,0.33926518116375143,0.12299897217764645,1.3255386504466493
52,0.3940757537344546,0.3552357842343655,0.22151828267226464,0.057710116455785714,0.8021175287871648
53,4.308609303431857,3.7268974755956443,2.4802129182473687,1.0155571206538303,8.753140185005828
54,0.9148276526667313,0.8867134799989981,0.37867711758793665,0.21010113944935904,1.5952405436564234
55,1.8099851880085385,1.7212103300854342,0.6732140207647702,0.65850093219173,3.0928721374776567
56,1.7737748902258936,1.7335892282696999,0.5675657231500157,0.7198685491849276,2.8384547038039125
57,0.36141652655614376,0.3275915857216996,0.2004576653432461,0.046779364381808644,0.7284000689750418
58,0.8573315367331263,0.8239846075971495,0.372509338773013,0.21824090637274157,1.5632478107910666
59,0.6104768525567569,0.5744676180258348,0.30297790285213055,0.11913393509047347,1.1854447349537263
60,1.0326703178708732,1.0049827385725798,0.38796092503934104,0.33206735533667814,1.7643799530837354
61,0.7853257709492011,0.7463256845951802,0.36583307449913965,0.14291359100532922,1.4418191067749326
62,0.4958015180671256,0.4546332783780371,0.26627876490079166,0.06031907128000728,0.976900915526456
63,1.8028243690543382,1.7749033052616494,0.5268501963131506,0.8852945912475446,2.862376957916059
64,1.3277804545684961,1.2745298715481403,0.5100487471401253,0.42174127758352836,2.2897142106189983
65,0.875826680830726,0.8367650368049249,0.38967862192539277,0.18981387756911397,1.5877389093277314
66,0.3440523005864219,0.3077010289925764,0.19496321240845974,0.05178427631592156,0.7056954752438911
67,0.31479513490585836,0.2799091485036995,0.18182999161362148,0.03840971324238586,0.6506536950372676
68,0.4459295630962028,0.40957908864215065,0.23855774935215207,0.061898413321913225,0.8737673340567333
69,0.9825475668738342,0.9575684460391003,0.3910927956488157,0.2764548888550345,1.7077679005310191
70,1.3468343827507214,1.2879688434674574,0.5393171721384209,0.39754447561428435,2.3595616771297827
71,0.6280844761204991,0.5926678866719743,0.30025865031488236,0.09781456480077569,1.1684788548728289
72,2.479465252937488,2.2592889790609827,1.2193646637685764,0.5195124098483217,4.7672718430877605
73,2.35985696530452,2.283048031987099,0.8144668779603537,0.9382995139925475,3.891964475569988
74,1.1017576174580377,1.0314351945095974,0.5339390953513815,0.19025112482918927,2.075320401756584
75,1.2832126010641398,1.2471755435354357,0.48839169300417506,0.40989832659682485,2.2029057874899545
