subj,k_mcmc,k_mcmc_sd,beta_mcmc,beta_mcmc_sd,logk_mcmc,logb_mcmc
79,1.224214,0.79967004,19.946907,20.226278,-0.014585857,2.4553242
80,8.782704,1.6809497,169.92982,145.79712,2.1536546,4.5766063
81,2.1585732,1.7011116,279.50607,334.39246,-0.45659384,4.8591123
82,12.008385,2.6787407,213.15184,231.3344,2.4547749,4.6187553
83,0.5006399,0.35990044,7.3034716,7.5476727,-0.9762909,1.2499083
84,4.679052,1.6456566,320.49084,216.44641,1.4622388,5.4358225
85,6.762452,2.6322973,120.74755,126.73782,1.8231213,4.147958
86,1.3577409,0.73657733,29.664434,29.978653,0.16369188,2.1378992
87,1.3844781,0.8988719,264.1989,201.59137,0.13465473,5.281905
88,7.9378386,2.27911,121.60961,151.03983,2.0210214,3.7268498
89,9.353844,2.488748,222.83405,307.1413,2.185794,4.714913
90,1.6179147,1.0302268,24.49961,25.360922,0.24546413,2.5424917
91,0.8353939,0.37505674,11.156061,9.4097805,-0.29967245,2.1239383
92,1.5683959,0.8499725,75.660446,40.97177,0.2997316,4.1593895
93,2.21276,1.0020521,23.70272,24.726543,0.67999667,2.4500856
94,4.3717384,2.8770986,536.7611,644.8885,0.93776196,5.4131956
95,5.3646007,2.1532464,154.08356,151.5454,1.5694991,4.257355
96,0.9329061,0.7561498,19.569952,14.929395,-0.79773194,2.7134695
97,1.3494747,0.64273655,28.121801,17.55514,0.17588615,3.0655384
98,52.11093,23.178877,79.76739,181.18861,3.8670404,3.1114252
99,6.7939844,2.7048278,229.74117,262.49136,1.8106503,4.662809
100,3.5892572,1.7225565,64.61822,40.915,1.1282415,3.9325979
101,0.9625265,0.48323712,13.351445,14.484479,-0.16001269,0.90482146
102,2.78209,1.9612771,580.25024,663.34265,0.67890006,5.738184
103,1.7619566,0.82538897,83.246284,65.87361,0.44705436,4.0113573
104,10.160266,1.7330685,81.83619,72.75278,2.3038175,3.846047
105,2.177211,1.7373194,505.39175,426.27927,0.23676278,5.871584
106,2.7457194,1.3543392,42.61136,39.97555,0.8531822,3.2251523
107,2.706243,1.2384013,39.24644,38.488647,0.8518559,2.9237366
108,6.2145905,2.31686,168.7428,177.86844,1.7327757,4.4629126
109,6.7682853,1.414715,70.06994,63.467354,1.8861899,3.7623818
110,26.016304,5.697774,56.609894,103.67084,3.233878,3.14904
111,6.8138065,1.7042398,146.50919,122.425316,1.8815726,4.4799886
112,5.2823315,1.6218464,112.63165,81.85596,1.5994097,4.4366474
113,4.547141,1.2248412,37.066402,39.15798,1.4674739,3.012395
114,5.612001,1.3859172,62.55825,64.588264,1.6900176,3.6476748
115,3.3468926,2.5321069,251.84338,205.34116,0.88647777,4.7388463
116,6.0216503,1.1465181,34.782475,26.56228,1.7756385,3.230081
117,11.37064,1.950193,128.47069,120.069336,2.4157379,4.2224092
118,4.8933887,3.3108406,966.64557,1210.0677,1.0334462,5.903853
119,12.985204,2.3366995,60.2091,85.76509,2.547343,3.3824143
120,1.4911263,1.1974975,607.2675,500.08542,0.01884358,6.075389
121,8.613802,2.2082837,66.14928,73.11741,2.1163285,3.68326
