clinical_measure,b_cd,p_cd,b_eps,p_eps,b_interaction,p_interaction,R2,R2_adj,f_stat,f_p
DASS21_Stress,-1.2476911741510224,0.23861386642381918,0.5291962991743477,0.33358267789120893,-0.22636085170876888,0.6565819493156049,0.008785748865973275,-0.0015753757103404986,0.8479532121501517,0.46863169938082705
DASS21_Anxiety,-1.4242110521396354,0.1289197709181195,0.23647439294588252,0.6252723901596247,-0.36457094225186915,0.4187182362614012,0.009291337551720624,-0.0010645021254389597,0.8972075506550283,0.44299821099121994
DASS21_Depression,-2.0699063424460875,0.10580600546627734,0.8686991121163362,0.18899210428365068,-0.9821372459704683,0.11084813914065031,0.018771226629524462,0.008514479869554448,1.8301345513164566,0.1417824844057537
DASS21_Total,-4.741808568736745,0.10899464671740527,1.6343698042365669,0.28482055590189126,-1.5730690399311065,0.2687653316346462,0.013517286712817489,0.0032056207202686426,1.3108732112332615,0.2710457821750625
AMI_Behavioural,-0.5426109422822746,0.36318094300071085,-0.025755361210307137,0.9334362355811399,-0.2665319058509998,0.35344903734360517,0.0034568542484586517,-0.0069599730590486075,0.3318528901758169,0.8023252534917628
AMI_Social,-0.04081120329372827,0.9427871005498946,0.3439774436477041,0.24268239942148037,-0.288100738032878,0.2930167446965405,0.014807697753809967,0.0045095203784143445,1.4378949996713364,0.2318983278574941
AMI_Emotional,0.6243729353604841,0.11670770188779689,0.09017768344762521,0.6606628877825516,0.042720204504714886,0.8231769662887412,0.015347928037776404,0.005055397668833339,1.4911715086202257,0.21709224089089985
AMI_Total,0.04095078978448059,0.9699955105402762,0.40839976588502197,0.4684204542398162,-0.5119124393791632,0.3290449415053829,0.01078349852799898,0.0004432563523335542,1.0428671151800104,0.3739236278281533
MFIS_Physical,-0.22098219805397096,0.8089579824176951,0.5468351351101604,0.24783755820014786,-0.003332436834856036,0.9939561752122212,0.004945027755600129,-0.005456243731275068,0.47542531332251137,0.6996343644453377
MFIS_Cognitive,-0.6941667214437506,0.4815776239486793,0.5907609096485734,0.24714227808343586,-0.20401681741106215,0.6673206497584379,0.006722875345076651,-0.0036598123690863016,0.6475081915356093,0.5850905627154195
MFIS_Psychosocial,-0.3047989462804242,0.23767320855928167,0.191220523261866,0.152228918981117,-0.16914698990142993,0.17356352457146876,0.01650155354991034,0.0062210819842299925,1.6051358582614021,0.1883341896191054
MFIS_Total,-1.2199478657781457,0.5476374168889392,1.3288165680206003,0.20581549255126536,-0.3764962441473481,0.6997909113771659,0.007239284936295998,-0.0031380047682025847,0.6976084452145247,0.5541703447203985
OASIS_Total,-1.166617986154292,0.018744381188684586,-0.017309507745055498,0.9459707822612972,-0.40215537783828775,0.0915381225285276,0.01911054633046716,0.008857346466325744,1.8638616806156842,0.13582910867583972
PHQ9_Total,-0.7976823951183643,0.23869338727981074,0.3765283478114079,0.2820607738072718,-0.3266966707130482,0.3159217095220513,0.010066108255410766,-0.00028163277327819536,0.9727831637361742,0.40592366285362913
STICSA_Total,-1.214189328385088,0.39643586670089276,-0.05421119067590784,0.9415992770940691,-0.38114325559151263,0.5801091746748601,0.002530350928627856,-0.007896161082570963,0.2426843153213681,0.8665055264546503
STAI_State,-1.1599929859934697,0.44432647647861806,0.05878490742511302,0.9402183446457497,-1.0191847154785472,0.16314881949268215,0.007591762160684468,-0.0027818431128971977,0.7318344934541051,0.5337329680697809
STAI_Trait,0.4899430109328863,0.4198207484004164,0.11958687212193836,0.7032489809457982,0.5210178801420186,0.07533805216113804,0.012354572559086452,0.002030752760052601,1.1967055604983114,0.31128457854657005
