subj,alpha_mcmc,alpha_mcmc_sd,delta_mcmc,delta_mcmc_sd
120,-0.026549246,0.04609889,0.34701076,0.078757286
121,-0.05441118,0.04593607,0.28708643,0.07809206
122,0.17180882,0.046577416,0.29583806,0.08005397
123,0.18395184,0.046785608,0.046627387,0.07897547
124,0.257225,0.044464633,0.16724539,0.0770325
125,-0.041227996,0.046221588,0.29791072,0.0788225
126,0.03415987,0.04689949,0.2165761,0.080130905
127,0.005185704,0.04548574,0.22020128,0.07748511
128,0.0029853329,0.045778766,0.275853,0.078228556
129,0.009727106,0.04568892,0.2973422,0.07872937
130,-0.024574308,0.04607781,0.19379525,0.07800522
131,-0.004185311,0.046547882,0.2590771,0.07949593
132,-0.13692938,0.046043612,0.26483002,0.0785328
133,-0.19927736,0.045590572,0.26786584,0.07909258
134,-0.07550978,0.045869347,0.032097943,0.0786535
135,0.011768775,0.046237502,0.2756457,0.079103
136,-0.009610643,0.044645723,0.3072713,0.076784946
137,-0.0018091915,0.04577459,0.341489,0.07876068
138,-0.015010331,0.045566227,0.12559514,0.07765432
139,0.2095504,0.04580434,0.08573078,0.07816164
140,-0.050679304,0.04561958,0.20960541,0.078041054
141,0.24802773,0.045515902,0.09094696,0.07833885
142,-0.038400795,0.045973677,0.273635,0.07934845
143,0.20844577,0.044917893,0.2668318,0.077134445
144,0.04084426,0.045782484,0.3096455,0.078339234
145,-0.12235733,0.046061132,0.14381021,0.076851845
146,0.113946274,0.046217024,0.16148315,0.07904047
147,-0.016641932,0.0450573,0.16892633,0.077455714
148,-0.06430598,0.045490656,0.21454157,0.0779913
149,-0.022652026,0.045849662,0.31210726,0.078102246
150,-0.080612466,0.04571744,0.14670746,0.077091426
151,-0.08350676,0.04520066,0.3445169,0.07756181
152,0.81189114,0.048341084,0.38822263,0.08126436
153,0.22332534,0.045928262,0.1259117,0.07865406
154,0.45298275,0.04596114,0.2492067,0.07871098
155,-0.0051245913,0.04590211,0.31410977,0.07846042
156,0.1296173,0.045543607,0.26465058,0.07836571
157,0.048368417,0.045633193,0.3501363,0.07831431
158,0.37935692,0.045774426,0.29945537,0.07812033
159,-0.0068987156,0.04536694,0.19703384,0.07729589
160,-0.0031797576,0.046229374,-0.01560718,0.079519235
161,0.03524332,0.045730133,0.13181452,0.07862241
162,-0.17026904,0.044963464,0.09376385,0.076104954
163,0.065928996,0.04618665,0.14774022,0.079231516
164,-0.007362958,0.0451943,0.26175112,0.077847086
165,0.041349065,0.046194263,0.415482,0.07932973
166,0.18619634,0.04730742,0.24576613,0.081462406
167,-0.002453082,0.046039958,0.35535693,0.078382954
168,-0.06291187,0.045711033,0.21813965,0.07819699
169,-0.18968195,0.047074944,0.11962126,0.079361625
170,-0.12860993,0.045189224,0.06470708,0.07682414
171,-0.07324756,0.046686485,0.223413,0.07912711
172,-0.07861171,0.045938928,0.41403976,0.07793673
173,0.03244786,0.046271794,0.4037786,0.07949211
174,-0.13102284,0.045935825,0.34726548,0.07806676
175,-0.11107509,0.044847757,0.20053199,0.07651653
176,-0.04660956,0.046589784,0.2079576,0.078405604
177,-0.011530895,0.04585507,0.22630273,0.07815648
178,-0.116597526,0.045833807,0.029814675,0.07802818
179,-0.23721889,0.047147896,0.11763386,0.07886293
180,-0.13033624,0.04578229,0.25765926,0.07811571
181,-0.04255958,0.045516107,0.17103879,0.0779203
182,0.106392235,0.046104107,0.17097186,0.0787629
183,0.088720754,0.045918234,0.27143943,0.07856837
184,0.15651116,0.04570343,0.07830673,0.07818017
185,-0.184879,0.04518421,0.26973727,0.077294424
186,-0.117783464,0.045828406,0.004551597,0.07876931
187,-0.074314095,0.04640867,0.30322412,0.078976795
188,0.1755373,0.04634976,0.054481085,0.07933866
189,0.21544625,0.04573561,0.18498527,0.07828892
190,-0.18916154,0.045456417,0.26907113,0.07787403
191,0.033199083,0.04588551,0.16282997,0.078390144
192,-0.1264806,0.045617487,0.13676083,0.07730923
193,-0.33429354,0.046084803,0.18157658,0.07851147
194,0.03847942,0.045329977,0.020179234,0.076899335
195,0.0041564126,0.044837058,0.27741298,0.0777177
196,-0.07565179,0.045553733,0.27348983,0.07735319
197,-0.23665826,0.04518318,0.18543243,0.07602772
198,0.14897129,0.04527221,0.29336196,0.07733195
199,0.21384235,0.045216206,0.13421676,0.07741065
200,0.6524938,0.0467172,0.0044061616,0.078969136
201,-0.16445935,0.045166116,0.18638258,0.07802795
202,0.0297487,0.046380598,0.14519188,0.078791864
203,0.13049653,0.045068216,0.16817407,0.07666527
204,0.01780714,0.0453235,0.2662392,0.077574275
205,0.2138446,0.0461264,0.38513342,0.07891624
206,-0.17372505,0.04651429,0.079812296,0.07936502
207,0.15025689,0.04538745,0.16719227,0.077890776
208,0.0761823,0.04592546,0.29929817,0.078677304
209,0.03925958,0.04557001,0.08331392,0.077861376
210,-0.11877724,0.045910873,-0.13457352,0.077898204
211,-0.1724865,0.045546494,0.32444236,0.07818379
212,-0.29441687,0.04590937,0.20180976,0.07843439
213,0.051678155,0.046009026,0.21660875,0.07932504
214,0.073373385,0.045403,0.29952735,0.07751531
215,0.064226024,0.04589721,0.20968688,0.07864873
216,0.3270112,0.04557603,0.2712179,0.07844789
217,0.3147874,0.04638703,-0.13504384,0.07970907
218,-0.112756595,0.0460096,0.31225088,0.07825446
219,-0.03678758,0.046039253,0.25529307,0.078540824
220,-0.036190193,0.045407128,0.088568084,0.07837996
221,-0.030727273,0.047515318,0.11223343,0.08033787
222,0.06648322,0.045750923,0.28188512,0.07918642
223,0.45272967,0.045041166,0.16124699,0.07634398
224,-0.075867236,0.045110486,0.07193137,0.07599088
225,-0.04773972,0.045164604,0.3574021,0.07667079
226,0.0383489,0.045579128,0.107564434,0.07800703
227,-0.014442051,0.045489985,0.15873775,0.07828696
228,-0.11963651,0.045273405,0.1906024,0.07718672
229,-0.074059896,0.045331113,0.29963836,0.07796959
230,0.09849414,0.045284566,0.29184845,0.077622205
231,-0.14413193,0.045305133,0.25273263,0.078416415
232,-0.11199334,0.045297254,-0.048390493,0.07731992
233,-0.07216577,0.045981813,0.30222455,0.07889812
234,0.20848665,0.046346564,0.35142893,0.07911047
235,-0.053462647,0.045602508,0.04266466,0.077746935
236,-0.06559037,0.04526122,0.31304199,0.07749109
237,0.08889922,0.045758635,0.3105688,0.07864356
238,-0.18248156,0.046758953,0.17478578,0.07806335
239,-0.13271214,0.045963652,0.02172879,0.0788214
240,0.036684755,0.0455414,0.1449196,0.07766196
241,-0.15384984,0.045718513,0.29792157,0.07899204
242,-0.08304569,0.045345232,0.31278077,0.0781853
243,0.06411491,0.044939306,0.1439271,0.077179305
244,-0.05684567,0.046077114,0.2988004,0.078759745
245,0.15690392,0.045811925,0.1387902,0.07865855
246,-0.08597615,0.046908624,0.18575047,0.080043375
247,0.001998115,0.046168514,-0.012028071,0.07782459
248,-0.073289745,0.045627072,0.1784254,0.078440644
249,-0.10858211,0.045969594,0.25295383,0.07853936
250,-0.27094138,0.044825457,0.14973009,0.07684462
251,-0.20181073,0.045160096,0.14249772,0.07715124
252,-0.09183537,0.04490732,0.21366948,0.07696205
253,-0.08520641,0.046323758,0.33210978,0.079707205
254,-0.14473808,0.046319913,0.047180843,0.07851664
255,-0.024910038,0.04565291,0.012900993,0.07734998
256,0.1452836,0.04517838,0.10329469,0.07700487
257,0.80682784,0.046404663,0.19344531,0.07831919
258,-0.14151382,0.046149317,0.22985707,0.07902208
