rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.21541572,0.42945048,-0.75110775,-0.3480638,0.7563275,-0.26401445
-0.20884952,0.43428513,-0.7345028,-0.36015826,0.72569656,-0.18665251
-0.13537627,0.3668066,-0.6580896,-0.3690655,0.7770018,-0.21734239
-0.124856256,0.34570456,-0.6839916,-0.3240375,0.76154774,-0.19911551
-0.0067865546,0.34767058,-0.6662781,-0.25130144,0.69605815,-0.15958293
-0.29366466,0.36973128,-0.73700124,-0.35599956,0.7920684,-0.15716958
-0.16385694,0.4286114,-0.6999679,-0.36681902,0.76363415,-0.2631652
-0.15567161,0.3571591,-0.73946977,-0.2954775,0.744477,-0.22516096
-0.20320956,0.35723543,-0.7795363,-0.30043337,0.7474339,-0.26408222
-0.26097792,0.34358412,-0.7645794,-0.34328943,0.79517967,-0.26216012
-0.19175597,0.40825725,-0.7702924,-0.3410345,0.7183389,-0.24616227
-0.24746022,0.3819579,-0.7576902,-0.35405308,0.7799548,-0.25410482
-0.18781197,0.38910004,-0.74532163,-0.334113,0.7359474,-0.21168329
-0.07883959,0.31923708,-0.7225567,-0.27536428,0.69888973,-0.16643779
-0.2701258,0.4223092,-0.76181895,-0.3598832,0.7862319,-0.2756349
-0.13288057,0.3914747,-0.7257065,-0.33083645,0.7077141,-0.1944288
-0.21699208,0.3742286,-0.73756593,-0.33019784,0.7595916,-0.18745458
-0.17352057,0.3693841,-0.74085164,-0.33660972,0.7446939,-0.23073003
-0.16847058,0.42551386,-0.74949396,-0.34901032,0.7326727,-0.2838378
-0.08110594,0.3263565,-0.7187595,-0.27669388,0.69353884,-0.14488123
-0.20218593,0.37243506,-0.7625308,-0.3276593,0.7271701,-0.19101818
-0.19150862,0.3548594,-0.73765016,-0.33206958,0.75380653,-0.20147009
-0.105332755,0.38173902,-0.67464554,-0.3401168,0.76007575,-0.24859622
-0.25390056,0.40828174,-0.72817457,-0.41768453,0.79770756,-0.2819468
-0.14987123,0.39332125,-0.7599205,-0.3257186,0.7243905,-0.2890985
-0.19921412,0.4481696,-0.7320976,-0.3576012,0.77357376,-0.3089832
-0.30987674,0.3724646,-0.72873855,-0.3960938,0.8237806,-0.22410974
-0.1608534,0.35328197,-0.72045916,-0.2931574,0.772614,-0.24575847
-0.20122568,0.4175761,-0.7423518,-0.35005027,0.75085735,-0.24649264
-0.18532805,0.40590867,-0.7308207,-0.30221045,0.77650124,-0.27342045
-0.216358,0.37517494,-0.6747015,-0.3415397,0.8281765,-0.23120232
-0.113035865,0.3533229,-0.7251713,-0.3132885,0.73661184,-0.2622221
-0.10165973,0.38944116,-0.7550184,-0.3081533,0.70763254,-0.32395384
-0.19376157,0.3994087,-0.7262102,-0.3614484,0.7839114,-0.3033284
-0.060464226,0.3994527,-0.6926509,-0.33178675,0.7124859,-0.26621255
-0.22942981,0.35802588,-0.71148086,-0.3555122,0.80709743,-0.23700511
-0.10900159,0.36871654,-0.69171834,-0.37144876,0.75386286,-0.27803016
-0.22172424,0.4216984,-0.7547415,-0.38121012,0.7562064,-0.27899268
-0.22945412,0.3986541,-0.7237087,-0.3398893,0.81034833,-0.2902993
-0.18247811,0.40799373,-0.7119124,-0.35423598,0.77166075,-0.25280046
-0.25688413,0.37611717,-0.73965657,-0.33639964,0.8010807,-0.23193517
-0.19557233,0.40541232,-0.7782303,-0.30440685,0.72500396,-0.24987483
-0.11881472,0.34831128,-0.70423704,-0.30706686,0.75483596,-0.23419194
-0.059498277,0.3349187,-0.6287108,-0.35217074,0.77719146,-0.2537396
-0.22463843,0.45587176,-0.7532446,-0.31272343,0.77120954,-0.28507808
-0.27812216,0.372479,-0.7181485,-0.39533916,0.79519814,-0.18175074
-0.18823674,0.37965187,-0.7403589,-0.33767837,0.75861293,-0.24665712
-0.15849276,0.43108553,-0.74916077,-0.31631947,0.73737067,-0.29652
-0.13424261,0.33736783,-0.7300359,-0.32260582,0.722774,-0.18763733
-0.12785155,0.40399992,-0.7390555,-0.30357555,0.72883487,-0.2850917
-0.2164859,0.4076115,-0.7940085,-0.32266122,0.7187722,-0.2520829
-0.1710529,0.42503852,-0.71215975,-0.36359394,0.7431485,-0.22626397
-0.19585305,0.34594557,-0.6695857,-0.3795139,0.81008404,-0.21585071
-0.062456038,0.32096747,-0.66795456,-0.2913051,0.75580066,-0.22752593
-0.16427971,0.41832632,-0.7518606,-0.3503238,0.67049307,-0.16719875
-0.23049672,0.3740325,-0.7408524,-0.34559697,0.7686703,-0.20661937
-0.066883996,0.32429078,-0.6796113,-0.32112607,0.72306246,-0.17811021
-0.099274255,0.3587862,-0.69269186,-0.3745547,0.7354351,-0.24726526
-0.2380851,0.37975743,-0.69022864,-0.35500845,0.8129909,-0.20150438
-0.1544945,0.41585428,-0.70927393,-0.34830102,0.71627325,-0.17911842
-0.0545226,0.3521168,-0.657123,-0.28278384,0.7214306,-0.13490254
-0.27839375,0.397449,-0.74301547,-0.385895,0.8076409,-0.2708906
-0.1433968,0.33978057,-0.72830445,-0.34202975,0.74737287,-0.25708678
-0.2113036,0.38426456,-0.73242456,-0.34546903,0.7787935,-0.24933913
-0.22106309,0.37288213,-0.735811,-0.35658997,0.76711774,-0.2089528
-0.20564726,0.41026568,-0.7856668,-0.35237908,0.72872454,-0.29579958
-0.08553945,0.3784595,-0.7148248,-0.29660177,0.6893012,-0.17062742
-0.1799099,0.36977953,-0.6971468,-0.33741176,0.7934317,-0.24300234
-0.19338143,0.3967397,-0.73231304,-0.3571301,0.761065,-0.2497872
-0.22300819,0.33645287,-0.71228933,-0.34362894,0.8193039,-0.2661088
-0.15396143,0.42632514,-0.748344,-0.34363073,0.67089534,-0.17593217
-0.16972612,0.41990292,-0.7272712,-0.33955735,0.76046085,-0.28589338
-0.14756122,0.36744273,-0.7001655,-0.33488995,0.7611158,-0.22509849
-0.13668308,0.41037548,-0.7661892,-0.31303,0.69394886,-0.25905865
-0.13116187,0.35489452,-0.731238,-0.26596364,0.7340164,-0.19905682
-0.16559924,0.3390015,-0.69953895,-0.32274514,0.74739444,-0.12593758
-0.12662657,0.39501923,-0.73513186,-0.27026948,0.7044815,-0.17649841
-0.1169858,0.3824713,-0.6971056,-0.3399451,0.7611234,-0.28368694
-0.22657013,0.35613754,-0.7385652,-0.34146595,0.7912253,-0.2500331
-0.2767392,0.37384364,-0.7119807,-0.3664665,0.80967313,-0.18805683
-0.20962411,0.35299245,-0.70164037,-0.34568304,0.81124616,-0.2585139
-0.284345,0.41457486,-0.7522437,-0.39505437,0.8146771,-0.31937325
-0.0810272,0.41610518,-0.7076142,-0.3137111,0.71258575,-0.25843906
-0.056255434,0.35960054,-0.7735869,-0.24921867,0.6239003,-0.18531239
-0.14634556,0.38895133,-0.73200744,-0.27727216,0.7513905,-0.2557758
-0.2649631,0.36645117,-0.692796,-0.38254836,0.82457274,-0.2063997
-0.17865784,0.37543344,-0.6615162,-0.3460335,0.81192493,-0.22391558
-0.101431,0.26955387,-0.660726,-0.3121431,0.78280205,-0.19190668
-0.21147616,0.33208027,-0.73212737,-0.30808514,0.7908464,-0.22487754
-0.17338508,0.4356056,-0.694162,-0.33192664,0.77455324,-0.23728074
-0.26822793,0.41063783,-0.7553106,-0.31773958,0.7840992,-0.21797208
-0.1980626,0.37058154,-0.7793084,-0.30020258,0.7276832,-0.2288118
-0.08324125,0.38264465,-0.742532,-0.30518252,0.69028133,-0.26287824
-0.28234202,0.34882835,-0.6601691,-0.394338,0.83945787,-0.16203734
-0.1639842,0.37483293,-0.69814897,-0.32024553,0.7541355,-0.16738889
-0.10411018,0.35690773,-0.7202145,-0.31914407,0.7014271,-0.18452898
-0.15255386,0.33705866,-0.7420966,-0.2813145,0.6819424,-0.07197335
-0.17153601,0.42957512,-0.7705103,-0.33468497,0.68327165,-0.2175206
-0.18877976,0.40824556,-0.72102565,-0.35046434,0.7578703,-0.22960049
-0.23046891,0.37369165,-0.7493764,-0.3275758,0.7735631,-0.22588217
-0.12860349,0.33945644,-0.65870416,-0.30245405,0.75394773,-0.09994432
-0.17716773,0.39420936,-0.70285636,-0.362499,0.76629853,-0.2264868
-0.17181607,0.36926785,-0.68900853,-0.33839172,0.77123165,-0.18781918
-0.25806805,0.42100587,-0.7148749,-0.38567257,0.8274437,-0.31308705
-0.2631055,0.36241546,-0.776463,-0.30291864,0.7889204,-0.26347086
-0.07407046,0.36097062,-0.6585292,-0.34195322,0.74450666,-0.21208951
-0.24559261,0.39994752,-0.7591291,-0.35453093,0.782619,-0.28247803
-0.14720416,0.38003173,-0.73458815,-0.3474046,0.7614081,-0.34116125
-0.19037218,0.38978258,-0.7486598,-0.32774517,0.7452059,-0.23480004
-0.28179082,0.4258815,-0.7552958,-0.36630276,0.7971684,-0.27136537
-0.187775,0.40729362,-0.7232085,-0.35125285,0.7595212,-0.2384817
-0.055858266,0.37491542,-0.75106776,-0.2763258,0.6695067,-0.26468468
-0.10876772,0.36795858,-0.78394735,-0.28634214,0.6628784,-0.23735386
-0.16756566,0.39103422,-0.77309895,-0.32919908,0.72349226,-0.29798993
-0.24454759,0.3695859,-0.68474025,-0.36294293,0.81758446,-0.19126844
-0.18172821,0.40486068,-0.74244046,-0.35496628,0.7523629,-0.27933484
-0.16385573,0.37593102,-0.7296692,-0.34646425,0.75395274,-0.2573564
-0.1524366,0.38682005,-0.7793816,-0.31490442,0.7036799,-0.27605298
-0.15098992,0.402125,-0.7048803,-0.3322761,0.7193433,-0.15585548
-0.16534817,0.32707095,-0.70808727,-0.27769348,0.77899194,-0.18604977
-0.2275218,0.34889412,-0.7344724,-0.34985304,0.76904124,-0.18295814
-0.22259893,0.40570313,-0.7539071,-0.31653664,0.7369834,-0.18323892
-0.28318578,0.3884026,-0.7464794,-0.34334576,0.81640106,-0.25652683
-0.12612355,0.3268777,-0.70512235,-0.28157946,0.7465134,-0.1691433
-0.28817657,0.40017578,-0.7461364,-0.3540933,0.7388755,-0.101426244
-0.21020271,0.34406936,-0.7331751,-0.3529595,0.78622454,-0.25408548
-0.18533143,0.4397746,-0.76019716,-0.3257961,0.70933604,-0.22453868
-0.22614469,0.45735687,-0.75744796,-0.35040063,0.7396859,-0.24680473
-0.20373517,0.38370067,-0.695083,-0.3692025,0.7488718,-0.13470069
-0.25499538,0.3895204,-0.76020277,-0.34164765,0.789524,-0.27156237
-0.23017631,0.35123295,-0.7380854,-0.33583015,0.77466464,-0.189814
-0.20491044,0.3917932,-0.7806813,-0.29234365,0.7222876,-0.21331495
-0.2647242,0.43479678,-0.80987746,-0.33862302,0.71375644,-0.24077228
-0.25377056,0.42040482,-0.74270463,-0.3822919,0.79336166,-0.28528956
-0.26799297,0.4046075,-0.75858533,-0.37459484,0.760077,-0.2064052
-0.22616401,0.37795916,-0.74407005,-0.31312186,0.7716207,-0.2059413
-0.24914068,0.41531634,-0.76076055,-0.3206473,0.7715818,-0.23638055
-0.12497785,0.30080447,-0.7288884,-0.30161396,0.72498626,-0.1658451
-0.1958081,0.41002613,-0.7653898,-0.32764482,0.6964469,-0.17420676
-0.2920083,0.3586836,-0.7452001,-0.38114876,0.8139427,-0.2423788
-0.20769215,0.4055542,-0.74682474,-0.31697798,0.762954,-0.2457781
-0.22241327,0.3907911,-0.73291844,-0.34294027,0.7574231,-0.18105721
-0.19034746,0.3524721,-0.7189287,-0.3121387,0.7760728,-0.19781955
-0.114596955,0.34660503,-0.6723516,-0.33098456,0.7414504,-0.14921734
-0.25209033,0.37724686,-0.69967335,-0.3959204,0.8283354,-0.26759645
-0.15748999,0.36569485,-0.76634383,-0.28718418,0.7187193,-0.24661177
-0.28339195,0.4000865,-0.7774398,-0.35521996,0.79423547,-0.29442096
-0.16291969,0.38818234,-0.76344174,-0.31593847,0.7222884,-0.2579126
-0.1513214,0.3563863,-0.66716063,-0.32607517,0.79254115,-0.21170284
-0.16104092,0.39163002,-0.74189514,-0.30856168,0.73903924,-0.23903507
-0.14125702,0.3603549,-0.6682963,-0.32708815,0.7489654,-0.12605491
-0.18582599,0.40096194,-0.73103046,-0.3582552,0.7653933,-0.29192948
-0.22932431,0.42187512,-0.7239465,-0.35002238,0.7977763,-0.27733135
-0.18463384,0.4169757,-0.7856487,-0.29005763,0.68220073,-0.19721003
-0.18662919,0.3458378,-0.6914387,-0.32878217,0.79578274,-0.20247976
-0.14006598,0.36299542,-0.6872937,-0.33255303,0.7773418,-0.24006666
-0.19732241,0.38200137,-0.6743034,-0.28621948,0.7435707,-0.03633058
-0.21723996,0.3676939,-0.7782452,-0.30398783,0.7403273,-0.22559154
-0.08568628,0.381488,-0.7075385,-0.31971988,0.7347924,-0.29360414
-0.14007607,0.37110978,-0.7616884,-0.25081098,0.71535105,-0.22215669
-0.16120249,0.39903033,-0.7136182,-0.33541542,0.7577574,-0.24022178
-0.20838115,0.3867147,-0.7280812,-0.32752937,0.7483789,-0.15989214
-0.24820662,0.37074137,-0.74300355,-0.33843154,0.7933119,-0.23258603
-0.1739475,0.36115044,-0.7130277,-0.3556968,0.7744074,-0.24835764
-0.10235756,0.3448682,-0.691054,-0.2886896,0.73913294,-0.17152908
-0.09945536,0.4010308,-0.76970404,-0.29017437,0.68619376,-0.30669957
-0.13616319,0.3658451,-0.7365013,-0.3348206,0.72607493,-0.24072781
-0.16327107,0.47447443,-0.7589168,-0.34446308,0.69465774,-0.2718634
-0.27921864,0.37523818,-0.7564893,-0.33443612,0.78703135,-0.195477
-0.053543195,0.3724774,-0.67053026,-0.32277423,0.70754606,-0.18108231
-0.10457496,0.37700644,-0.67405015,-0.33129463,0.77077466,-0.2691151
-0.2404062,0.400066,-0.76034075,-0.31725308,0.74843186,-0.18792479
-0.19867355,0.38525176,-0.7430469,-0.30753428,0.7619734,-0.22748622
-0.18368849,0.3495371,-0.68634015,-0.30708134,0.81363714,-0.2361512
-0.11881978,0.38409817,-0.74995786,-0.2899143,0.7237328,-0.2964436
-0.24523692,0.40731442,-0.6954901,-0.37241268,0.78889513,-0.17642748
-0.15297309,0.4103819,-0.7006664,-0.31989616,0.78386295,-0.29270595
-0.23888497,0.37848845,-0.7133561,-0.328328,0.7691577,-0.12773567
-0.15013373,0.36126566,-0.6787188,-0.32238004,0.7720916,-0.1791188
-0.009506818,0.36239517,-0.7077075,-0.25165552,0.66525257,-0.19325387
-0.12506284,0.39756593,-0.7228138,-0.30325454,0.7350969,-0.25010467
-0.18018465,0.38623583,-0.69579005,-0.31616127,0.7635928,-0.15941495
-0.12910107,0.4195541,-0.76771766,-0.30021092,0.68573326,-0.26040384
-0.10589513,0.40194592,-0.69155335,-0.29460916,0.71499527,-0.15788183
-0.13231733,0.37957227,-0.7455876,-0.3285752,0.7091205,-0.23421642
-0.12162428,0.43301314,-0.7550601,-0.29286417,0.7159544,-0.3201664
-0.17963322,0.38133186,-0.71752006,-0.34038356,0.76886636,-0.23820709
-0.2691322,0.38144234,-0.70457125,-0.36084855,0.790991,-0.14001551
-0.23290707,0.39642754,-0.6808249,-0.3698094,0.8149807,-0.2185485
-0.12901363,0.35915586,-0.7462898,-0.2784864,0.7128456,-0.2034763
-0.18812993,0.41732845,-0.71840674,-0.33612794,0.76286966,-0.22974451
-0.20039728,0.38972834,-0.7543981,-0.35136986,0.7544473,-0.27488694
-0.12180418,0.32516643,-0.6788298,-0.28443927,0.77033955,-0.1738683
-0.13439585,0.31169176,-0.6585978,-0.3323349,0.7566865,-0.103761435
-0.25840196,0.38289726,-0.7988395,-0.32463846,0.7272504,-0.19973315
-0.038910236,0.38600367,-0.74872506,-0.28984195,0.6376434,-0.22691016
-0.1467978,0.39501923,-0.7565695,-0.3290562,0.70190144,-0.23333591
-0.27710542,0.3926672,-0.74655414,-0.3701284,0.7997045,-0.2431623
-0.1552294,0.3896833,-0.7636246,-0.3342316,0.65098786,-0.13767838
-0.07811012,0.37697583,-0.66449314,-0.33968833,0.76787984,-0.29611135
-0.16862722,0.37109986,-0.7744654,-0.29751766,0.7178037,-0.24137202
-0.112574674,0.38866708,-0.7206196,-0.2933514,0.73242986,-0.25159746
-0.24236324,0.40498102,-0.7196501,-0.36608326,0.794725,-0.23597078
-0.15288281,0.35836068,-0.74796987,-0.29691,0.7307096,-0.22195609
-0.082131974,0.33921158,-0.60278195,-0.32499373,0.80680835,-0.2198445
-0.19055997,0.3855001,-0.7923318,-0.28894845,0.67838717,-0.17140344
-0.07786996,0.3976871,-0.6810048,-0.31423968,0.73491406,-0.24158597
-0.19982482,0.37212962,-0.72113276,-0.36617303,0.7759497,-0.24117917
-0.15650785,0.36978433,-0.7300624,-0.34367573,0.75148445,-0.26046914
-0.18306935,0.34068528,-0.6990617,-0.34301,0.7988479,-0.2472872
-0.13424532,0.40899348,-0.73589504,-0.27598158,0.7409994,-0.27257782
-0.13213737,0.3837706,-0.6510169,-0.33982977,0.794616,-0.23819438
-0.17330946,0.43421006,-0.74032897,-0.30798694,0.7338605,-0.23225626
-0.11733727,0.3881569,-0.7054398,-0.3152582,0.740425,-0.23340283
-0.118518494,0.4096749,-0.67590743,-0.3285752,0.7038801,-0.122789085
-0.08667474,0.41625282,-0.73127425,-0.28481463,0.7034391,-0.26739985
-0.119454026,0.38781548,-0.76685137,-0.30247718,0.6823343,-0.24551898
-0.14164004,0.42132342,-0.74069446,-0.32808864,0.7306663,-0.28872025
-0.104570545,0.3976395,-0.71004707,-0.31921983,0.7123099,-0.21257696
-0.22449419,0.39156193,-0.77220106,-0.35648838,0.7515962,-0.27118087
-0.25947773,0.483137,-0.77068835,-0.37836856,0.7227924,-0.23420459
-0.1807305,0.39144063,-0.69238174,-0.3590778,0.78685904,-0.24517936
-0.18846162,0.35904723,-0.7418797,-0.29660177,0.74447316,-0.1788608
-0.30087692,0.4339999,-0.7300105,-0.41234607,0.80160254,-0.23598108
-0.19877599,0.37195548,-0.70903534,-0.32845873,0.78896296,-0.22215253
-0.116968125,0.33885634,-0.77164555,-0.2980885,0.6951166,-0.25937507
-0.35623515,0.38712496,-0.776218,-0.36238357,0.83542615,-0.27394396
-0.28653508,0.36371684,-0.7955711,-0.33476976,0.76909584,-0.23011778
-0.1852469,0.37155092,-0.7663636,-0.2998193,0.7295817,-0.21674003
-0.24411458,0.3459933,-0.7423154,-0.32306787,0.7837051,-0.18754761
-0.2734274,0.38105538,-0.7527617,-0.3907805,0.78692955,-0.2415908
-0.14515345,0.34190637,-0.683252,-0.322506,0.78039265,-0.21137576
-0.19242011,0.4224918,-0.7608146,-0.3166098,0.7077824,-0.19279334
-0.20331247,0.40618634,-0.76393276,-0.29659626,0.744292,-0.23754193
-0.20993012,0.3598563,-0.7918263,-0.29497176,0.73216516,-0.24095081
-0.19710764,0.3931863,-0.7137608,-0.3568947,0.7192453,-0.11957893
-0.25264025,0.3795865,-0.744882,-0.31596062,0.7795164,-0.18769969
-0.23865682,0.31893024,-0.69487077,-0.33853066,0.82704616,-0.19919914
-0.21172388,0.39500946,-0.77659506,-0.32396477,0.7211017,-0.21016067
-0.16769713,0.37827957,-0.69583195,-0.37786683,0.77256715,-0.24214911
-0.119978614,0.38103884,-0.77148145,-0.3145,0.7008656,-0.31321394
-0.17266746,0.35716286,-0.71367484,-0.32938582,0.76475364,-0.20287684
-0.21211773,0.37562984,-0.7375547,-0.31959236,0.72376186,-0.114094794
-0.2203828,0.36205417,-0.747152,-0.36006704,0.75666326,-0.20756446
-0.07861949,0.3948611,-0.7178227,-0.28855383,0.6860986,-0.1936957
-0.13402054,0.29929832,-0.65782505,-0.30343997,0.7894662,-0.15323062
-0.1229196,0.42972955,-0.77469045,-0.28758982,0.66307,-0.23513366
-0.2540489,0.37664923,-0.7466788,-0.34071094,0.79495966,-0.24271172
-0.28502923,0.33358756,-0.7510377,-0.36148435,0.7797983,-0.15292677
-0.23195472,0.40283984,-0.7860041,-0.32912683,0.7176761,-0.20409547
-0.22073409,0.37848592,-0.7391989,-0.34219193,0.79464704,-0.2898944
-0.2135829,0.40707538,-0.7662984,-0.33458918,0.75559783,-0.27919865
-0.22771119,0.38579118,-0.7654426,-0.35290018,0.7542071,-0.24546786
-0.08384906,0.39677912,-0.74779487,-0.2795122,0.68505454,-0.25381827
-0.080394946,0.3783737,-0.69614947,-0.3096797,0.6335855,-0.057599366
-0.19538909,0.3698027,-0.7586674,-0.2810594,0.7497914,-0.21621007
-0.16454923,0.3659432,-0.7233194,-0.32244593,0.76755446,-0.25882035
-0.22190565,0.40320313,-0.7700711,-0.364443,0.7486497,-0.27691558
-0.28582263,0.406466,-0.7330126,-0.34957713,0.7893312,-0.17381415
-0.16439074,0.37655568,-0.7301681,-0.32758582,0.7459159,-0.22399387
-0.14049435,0.34060386,-0.7608622,-0.29399157,0.7062002,-0.20682974
-0.21792823,0.35696176,-0.73531306,-0.33371735,0.7773065,-0.21174195
-0.07900979,0.37777302,-0.71165603,-0.2672828,0.7239189,-0.24288036
-0.18580967,0.40611318,-0.7255057,-0.3610119,0.7647627,-0.26889065
-0.108971804,0.41196015,-0.7227661,-0.31699237,0.73459285,-0.30412853
-0.25809827,0.4395014,-0.7729619,-0.3772268,0.78320116,-0.34349686
-0.22931887,0.36247256,-0.7253351,-0.34082118,0.7995277,-0.23605525
-0.29320604,0.42651927,-0.79078513,-0.3711773,0.74915487,-0.23052876
-0.055345494,0.4027116,-0.67259884,-0.32300252,0.70319,-0.20015961
-0.18273377,0.42962027,-0.7080417,-0.37509423,0.77638304,-0.28615236
-0.20516178,0.3770615,-0.68730044,-0.37758616,0.78515506,-0.1938647
-0.20462419,0.380587,-0.7400713,-0.33123162,0.76325876,-0.2240606
-0.19061299,0.37839928,-0.72195494,-0.3364782,0.7761879,-0.24526866
-0.12004187,0.39656872,-0.7371919,-0.31299114,0.7201835,-0.26543355
-0.14659901,0.43328232,-0.78074074,-0.31685334,0.69005877,-0.29294646
-0.26347905,0.3285283,-0.7739979,-0.28914347,0.7878627,-0.21472819
-0.20299602,0.3606068,-0.76183146,-0.35001454,0.7628213,-0.2890933
-0.16245925,0.3893159,-0.7368576,-0.31691596,0.73546815,-0.22235218
-0.16192183,0.35288572,-0.74607044,-0.3333411,0.73624194,-0.23425286
-0.2126563,0.4173781,-0.7130944,-0.35968825,0.79165137,-0.26654398
-0.1122343,0.3870131,-0.6852897,-0.32751417,0.72635335,-0.17336911
-0.21027623,0.43363655,-0.7525372,-0.33847806,0.7680797,-0.30777904
-0.20836681,0.392443,-0.7194466,-0.3255443,0.7758599,-0.20440297
-0.25126204,0.3691945,-0.76333344,-0.37036198,0.7763834,-0.25389916
-0.17707546,0.42087054,-0.7314654,-0.35852844,0.7603847,-0.29525888
-0.069453806,0.33558825,-0.73813236,-0.28847384,0.7018595,-0.26757294
-0.28194404,0.39433083,-0.74997234,-0.31495932,0.7752091,-0.15026852
-0.29426673,0.4293166,-0.79084367,-0.35054633,0.7663088,-0.25822872
-0.25481218,0.39321738,-0.7485089,-0.36145586,0.7739004,-0.21660538
-0.09653181,0.39408505,-0.72217786,-0.30248725,0.6736228,-0.15459636
-0.18297888,0.42284778,-0.72257686,-0.34684506,0.7553431,-0.24594943
-0.23499452,0.33930436,-0.6803846,-0.33200794,0.81282187,-0.14509857
-0.16054963,0.40316805,-0.7212213,-0.3269776,0.7658382,-0.28306854
-0.10425291,0.39037976,-0.7263275,-0.3266096,0.7209387,-0.27639174
-0.20812853,0.36174834,-0.7152892,-0.33480766,0.793941,-0.23386014
-0.19621618,0.37648502,-0.66362596,-0.38368985,0.80844927,-0.22258195
-0.16934097,0.4249177,-0.7154929,-0.30810562,0.7677179,-0.25510037
-0.250597,0.42271885,-0.78064007,-0.35844693,0.75686276,-0.28250414
-0.12581383,0.38225868,-0.74156415,-0.30567572,0.7108474,-0.22481275
-0.26364407,0.37683928,-0.6931041,-0.38048407,0.81527615,-0.19135687
-0.1430336,0.4079404,-0.6759563,-0.34092987,0.78515893,-0.26976871
-0.15764764,0.3648545,-0.6646167,-0.36121395,0.8150017,-0.2896602
-0.3398065,0.4386224,-0.776892,-0.39518747,0.78420013,-0.22950894
-0.17624156,0.37060148,-0.77988344,-0.28818122,0.72183657,-0.25103068
-0.23388855,0.37039945,-0.7413271,-0.33148518,0.76118785,-0.16686717
-0.18467762,0.3440765,-0.69028944,-0.35379982,0.80283284,-0.24311517
-0.20456366,0.33107924,-0.74569774,-0.33486378,0.77369034,-0.24287558
-0.19290423,0.38745594,-0.72559434,-0.34363642,0.77901477,-0.2656095
-0.24935146,0.4509015,-0.75725836,-0.35052946,0.76849115,-0.26637375
-0.24429728,0.36565265,-0.6869636,-0.34062368,0.7939602,-0.12231752
-0.2357151,0.371943,-0.7543475,-0.34312445,0.78144205,-0.25576407
-0.12437757,0.37015185,-0.7167954,-0.3110861,0.73145777,-0.211366
-0.13326141,0.29129323,-0.7089833,-0.3451224,0.76808363,-0.25031352
-0.207301,0.38883036,-0.6642805,-0.3406211,0.8357552,-0.26011312
-0.24616197,0.44788188,-0.70549154,-0.39257398,0.82529527,-0.32386732
-0.14838025,0.37127998,-0.7380061,-0.29550487,0.73205674,-0.21216238
-0.16684482,0.36769933,-0.7339357,-0.35060874,0.7632014,-0.28790748
-0.14294651,0.37653235,-0.70907664,-0.33208576,0.7627068,-0.2634028
-0.21827568,0.40790766,-0.7436597,-0.3347922,0.7606107,-0.22498177
-0.19540036,0.42184076,-0.7616291,-0.35950953,0.7253334,-0.25511554
-0.12895486,0.34799308,-0.6926856,-0.30399466,0.76343435,-0.20457295
-0.11000206,0.41835845,-0.73233885,-0.31015658,0.7147728,-0.27100772
-0.19628702,0.42459428,-0.75607574,-0.33359677,0.72271717,-0.21846026
-0.22451913,0.34297678,-0.7350439,-0.3266238,0.78719425,-0.21890052
-0.19212334,0.4012439,-0.696037,-0.36541167,0.7921785,-0.25589192
-0.23827259,0.3457745,-0.71805733,-0.350016,0.8178818,-0.2526633
-0.18870887,0.40921125,-0.70753217,-0.339122,0.71234584,-0.10790381
-0.19943635,0.37305972,-0.73605746,-0.3500291,0.76612604,-0.24330214
-0.20787439,0.40151688,-0.7842808,-0.2861818,0.7283898,-0.23669946
-0.12529087,0.34017047,-0.6761581,-0.34873325,0.77520454,-0.23505722
-0.16725118,0.41818243,-0.73815054,-0.3287363,0.71908504,-0.20759255
-0.18219286,0.42442322,-0.70763475,-0.32089585,0.7603461,-0.20590615
-0.16116594,0.38498938,-0.71467626,-0.3274588,0.7665098,-0.251308
-0.30726412,0.4271113,-0.7355214,-0.40345085,0.8027636,-0.23051998
-0.25327864,0.40826237,-0.7391165,-0.3259468,0.8123609,-0.28569937
-0.13120376,0.37891966,-0.7535586,-0.28798023,0.7247988,-0.29508686
-0.12160302,0.4084951,-0.7557739,-0.2923915,0.6713747,-0.19528872
-0.16354957,0.3974663,-0.7064414,-0.32058457,0.77225876,-0.2449492
-0.12343053,0.37492087,-0.7611192,-0.27642548,0.68124473,-0.18889852
-0.19699876,0.3556497,-0.7180183,-0.3273746,0.7915729,-0.24514031
-0.121221796,0.35557726,-0.71477115,-0.26658052,0.7473187,-0.21227963
-0.1449064,0.38773364,-0.7211622,-0.31042376,0.7563357,-0.2630724
-0.20026769,0.37188786,-0.68466985,-0.3439945,0.7842411,-0.16852292
-0.22319832,0.36403903,-0.7520114,-0.32043934,0.76413924,-0.20695701
-0.054296758,0.37715352,-0.69325775,-0.31840575,0.6575317,-0.12620428
-0.0829423,0.375755,-0.7552649,-0.30747953,0.6762285,-0.26073658
-0.14673199,0.3428421,-0.6938854,-0.3337258,0.78939164,-0.27397415
-0.1509274,0.3731472,-0.73997927,-0.31926668,0.7400152,-0.25186378
-0.16348264,0.37,-0.73319954,-0.29440764,0.7391891,-0.18814269
-0.18129069,0.37753615,-0.7155874,-0.31481773,0.74618447,-0.1541025
