rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.16436309,0.31028664,-0.70813245,-0.29184836,0.7725483,-0.17441633
-0.17949368,0.37199405,-0.7565469,-0.29059747,0.7473041,-0.24157065
-0.26846376,0.35606968,-0.7170024,-0.3573708,0.80295473,-0.17019293
-0.11820596,0.40479848,-0.74815565,-0.303935,0.7193266,-0.30286884
-0.15822624,0.35834062,-0.7100827,-0.40688857,0.784709,-0.34233397
-0.32308054,0.3524013,-0.73371375,-0.35473576,0.8577089,-0.26969737
-0.19795512,0.38731584,-0.70578706,-0.3532366,0.7778041,-0.21567199
-0.16053857,0.36900327,-0.7159067,-0.33821273,0.749226,-0.20702091
-0.057183586,0.3953867,-0.74618155,-0.27674282,0.6393704,-0.19199646
-0.08046723,0.32556155,-0.66303855,-0.32564378,0.6911337,-0.064576834
-0.16123694,0.38427,-0.7322373,-0.30606404,0.7351043,-0.19824015
-0.1226901,0.35589296,-0.7133042,-0.30654114,0.72049206,-0.16470611
-0.24912982,0.3952281,-0.6579326,-0.38885558,0.82308805,-0.18643019
-0.16749421,0.37309664,-0.7466759,-0.3292188,0.70458686,-0.16277584
-0.06722146,0.37333396,-0.722887,-0.26855007,0.70872056,-0.26196057
-0.13295928,0.41557145,-0.7525004,-0.27553907,0.7041514,-0.23419933
-0.29028186,0.41005293,-0.7672416,-0.36733896,0.77320385,-0.22110634
-0.21338364,0.4295963,-0.71673965,-0.3607007,0.7152492,-0.13079321
-0.18021894,0.4030197,-0.7742735,-0.30275303,0.68911755,-0.18462414
-0.18297014,0.35891557,-0.75332177,-0.3205924,0.75288165,-0.2558388
-0.27952263,0.37214223,-0.73449606,-0.37866962,0.7872044,-0.17849776
-0.11179022,0.38549978,-0.71814907,-0.33531633,0.73067224,-0.2650875
-0.24278884,0.41079986,-0.73482233,-0.35689273,0.75529814,-0.17663413
-0.12566657,0.42016184,-0.7199522,-0.34662598,0.74141484,-0.30433762
-0.16943257,0.3493989,-0.71559197,-0.33567026,0.7748438,-0.25053772
-0.1890788,0.3940321,-0.74509275,-0.33141863,0.75934404,-0.2665304
-0.1826895,0.4314746,-0.7584498,-0.32236445,0.73590827,-0.27577567
-0.13771906,0.38740462,-0.75790024,-0.3393664,0.7046439,-0.25935403
-0.103660524,0.4004878,-0.73841065,-0.31853548,0.70741516,-0.27456307
-0.19562115,0.39871398,-0.717612,-0.3335042,0.7438976,-0.1620673
-0.18616185,0.43015954,-0.7519981,-0.3713316,0.7335797,-0.2793215
-0.15909944,0.369104,-0.7381863,-0.30252403,0.68952775,-0.11224303
-0.19751683,0.35690483,-0.7391136,-0.35342106,0.7563567,-0.21795368
-0.16009964,0.42182338,-0.75915277,-0.31350622,0.70901334,-0.24319452
-0.16060936,0.41558623,-0.7441797,-0.33323905,0.73378265,-0.27043852
-0.12372719,0.40592453,-0.7270738,-0.2931292,0.7160736,-0.2135341
-0.1231046,0.42031842,-0.73137647,-0.2912246,0.7311715,-0.27589607
-0.17612877,0.36828753,-0.7737234,-0.3283807,0.72474396,-0.26182348
-0.19317195,0.43442023,-0.71661085,-0.34847605,0.7348474,-0.1833736
-0.2484478,0.42362145,-0.7614156,-0.37566975,0.77534527,-0.31565604
-0.14755325,0.34105086,-0.76519454,-0.26712218,0.7185706,-0.21674661
-0.21576047,0.3837544,-0.7370333,-0.3470953,0.7740798,-0.24174467
-0.0768919,0.39921463,-0.77751076,-0.2435034,0.64800745,-0.25007302
-0.20433791,0.3638912,-0.75018996,-0.30528674,0.773141,-0.25422764
-0.21656135,0.36583826,-0.755992,-0.29662323,0.753268,-0.18953584
-0.12571038,0.3083866,-0.7280904,-0.28734845,0.7451374,-0.2227352
-0.117966466,0.38473246,-0.75839615,-0.28969377,0.69103104,-0.23005019
-0.191396,0.3897462,-0.73319876,-0.33253056,0.7678769,-0.2528472
-0.28123206,0.4276124,-0.7428188,-0.33878174,0.7953471,-0.22499558
-0.23804693,0.38621694,-0.72272825,-0.35630834,0.79718506,-0.24183373
