subj,optimality_rate,overcautious_rate,overrisky_rate,mean_ev_loss,heavy_rate,survival_rate,total_earnings,heavy_rate_lowT,heavy_rate_highT,threat_sensitivity_choice
1,0.7777777777777778,0.2222222222222222,0.0,0.12085071871643513,0.3333333333333333,0.9333333333333333,98,0.8,0.0,0.8
2,0.5333333333333333,0.4444444444444444,0.022222222222222223,0.3929577903036439,0.13333333333333333,0.7777777777777778,43,0.2,0.06666666666666667,0.13333333333333336
3,0.6,0.26666666666666666,0.13333333333333333,0.28807221096546043,0.4222222222222222,0.5333333333333333,68,0.5333333333333333,0.3333333333333333,0.2
4,0.9333333333333333,0.06666666666666667,0.0,0.0046414519224563,0.4888888888888889,0.8222222222222222,109,1.0,0.0,1.0
5,0.7111111111111111,0.06666666666666667,0.2222222222222222,0.22899296541693792,0.7111111111111111,0.5111111111111111,91,0.9333333333333333,0.4666666666666667,0.4666666666666667
6,0.7333333333333333,0.24444444444444444,0.022222222222222223,0.1596528899398793,0.3333333333333333,0.9555555555555556,99,0.8,0.06666666666666667,0.7333333333333334
7,0.6888888888888889,0.24444444444444444,0.06666666666666667,0.21549037381085026,0.37777777777777777,0.8,88,0.8,0.13333333333333333,0.6666666666666667
8,0.5333333333333333,0.4444444444444444,0.022222222222222223,0.4112988608008681,0.13333333333333333,0.6,47,0.3333333333333333,0.06666666666666667,0.26666666666666666
9,0.6222222222222222,0.26666666666666666,0.1111111111111111,0.40605297970009907,0.4,0.4666666666666667,61,0.4666666666666667,0.26666666666666666,0.2
10,0.7777777777777778,0.2222222222222222,0.0,0.0968176869621259,0.3333333333333333,0.6,79,1.0,0.0,1.0
11,0.6888888888888889,0.2222222222222222,0.08888888888888889,0.23526155503254229,0.4222222222222222,0.4888888888888889,70,0.7333333333333333,0.2,0.5333333333333332
12,0.6666666666666666,0.3111111111111111,0.022222222222222223,0.19302169270171102,0.26666666666666666,0.9111111111111111,85,0.4666666666666667,0.06666666666666667,0.4
13,0.7111111111111111,0.15555555555555556,0.13333333333333333,0.19337185605178486,0.5333333333333333,0.6888888888888889,99,1.0,0.3333333333333333,0.6666666666666667
14,0.9333333333333333,0.044444444444444446,0.022222222222222223,0.037946000680770815,0.5333333333333333,0.8222222222222222,117,1.0,0.0,1.0
15,0.6,0.37777777777777777,0.022222222222222223,0.37826372295145033,0.2,0.9777777777777777,76,0.26666666666666666,0.06666666666666667,0.2
16,0.4444444444444444,0.5333333333333333,0.022222222222222223,0.5329906450644201,0.044444444444444446,0.6888888888888889,35,0.06666666666666667,0.06666666666666667,0.0
17,0.8444444444444444,0.15555555555555556,0.0,0.039224857934433824,0.4,0.8444444444444444,94,0.7333333333333333,0.0,0.7333333333333333
18,0.8,0.13333333333333333,0.06666666666666667,0.11219202839255057,0.4888888888888889,0.8444444444444444,102,0.9333333333333333,0.13333333333333333,0.8
19,0.8222222222222222,0.17777777777777778,0.0,0.05201437821030104,0.37777777777777777,0.6666666666666666,78,0.9333333333333333,0.0,0.9333333333333333
20,0.8666666666666667,0.13333333333333333,0.0,0.02555213995570025,0.4222222222222222,0.6888888888888889,87,1.0,0.0,1.0
21,0.7777777777777778,0.13333333333333333,0.08888888888888889,0.1450827744392264,0.5111111111111111,0.9111111111111111,117,0.8666666666666667,0.26666666666666666,0.6000000000000001
22,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.06519548415447741,0.5555555555555556,0.8666666666666667,123,1.0,0.13333333333333333,0.8666666666666667
23,0.7555555555555555,0.13333333333333333,0.1111111111111111,0.13996475336393577,0.5333333333333333,0.6,87,1.0,0.26666666666666666,0.7333333333333334
24,0.7777777777777778,0.022222222222222223,0.2,0.18185954073887325,0.7333333333333333,0.7333333333333333,137,1.0,0.3333333333333333,0.6666666666666667
25,0.7777777777777778,0.2222222222222222,0.0,0.0968176869621259,0.3333333333333333,0.9333333333333333,94,1.0,0.0,1.0
26,0.6666666666666666,0.3111111111111111,0.022222222222222223,0.2708644258976353,0.26666666666666666,0.8222222222222222,85,0.5333333333333333,0.06666666666666667,0.4666666666666667
27,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.2527154917553559,0.28888888888888886,0.7333333333333333,73,0.6,0.06666666666666667,0.5333333333333333
28,0.8222222222222222,0.17777777777777778,0.0,0.061184913458913075,0.37777777777777777,0.7777777777777778,95,1.0,0.0,1.0
29,0.6888888888888889,0.13333333333333333,0.17777777777777778,0.23348385442162609,0.6,0.6444444444444445,89,0.7333333333333333,0.4666666666666667,0.2666666666666666
30,0.8,0.13333333333333333,0.06666666666666667,0.09320487304989697,0.4888888888888889,0.5777777777777777,78,0.9333333333333333,0.13333333333333333,0.8
31,0.6666666666666666,0.13333333333333333,0.2,0.2340376671457631,0.6222222222222222,0.4666666666666667,77,0.8666666666666667,0.4666666666666667,0.4
32,0.5555555555555556,0.4444444444444444,0.0,0.36868554387357155,0.1111111111111111,0.9333333333333333,54,0.26666666666666666,0.0,0.26666666666666666
33,0.9333333333333333,0.0,0.06666666666666667,0.06295735341551321,0.6222222222222222,0.7333333333333333,125,1.0,0.2,0.8
34,0.6888888888888889,0.26666666666666666,0.044444444444444446,0.1943113923904506,0.3333333333333333,0.6666666666666666,62,0.5333333333333333,0.13333333333333333,0.4
35,0.4666666666666667,0.5333333333333333,0.0,0.5329888679722916,0.022222222222222223,0.5333333333333333,28,0.0,0.0,0.0
36,0.6888888888888889,0.2,0.1111111111111111,0.15161197445688787,0.4666666666666667,0.6888888888888889,79,0.8,0.2,0.6000000000000001
37,0.5333333333333333,0.4666666666666667,0.0,0.4359747337388869,0.08888888888888889,0.9555555555555556,51,0.13333333333333333,0.0,0.13333333333333333
38,0.8666666666666667,0.13333333333333333,0.0,0.06311747865301473,0.4222222222222222,0.6888888888888889,83,0.8,0.0,0.8
39,0.5333333333333333,0.1111111111111111,0.35555555555555557,0.4044607653989191,0.8,0.6,107,0.8,0.8,0.0
40,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.14430347742727528,0.6,0.7111111111111111,104,0.9333333333333333,0.3333333333333333,0.6000000000000001
41,0.5333333333333333,0.4222222222222222,0.044444444444444446,0.4186130448157132,0.17777777777777778,0.7111111111111111,48,0.26666666666666666,0.13333333333333333,0.13333333333333333
42,0.7555555555555555,0.1111111111111111,0.13333333333333333,0.18886975457143956,0.5777777777777777,0.5555555555555556,85,0.6666666666666666,0.4,0.2666666666666666
43,0.4888888888888889,0.4888888888888889,0.022222222222222223,0.5139596550626679,0.08888888888888889,0.6,31,0.0,0.06666666666666667,-0.06666666666666667
44,0.7111111111111111,0.24444444444444444,0.044444444444444446,0.18806992266456565,0.35555555555555557,0.7777777777777778,79,0.6666666666666666,0.13333333333333333,0.5333333333333333
45,0.6,0.35555555555555557,0.044444444444444446,0.2306351459918089,0.24444444444444444,0.8888888888888888,72,0.5333333333333333,0.06666666666666667,0.4666666666666667
46,0.7333333333333333,0.26666666666666666,0.0,0.11410938996811466,0.28888888888888886,0.9111111111111111,85,0.8666666666666667,0.0,0.8666666666666667
47,0.6888888888888889,0.15555555555555556,0.15555555555555556,0.2843399575040931,0.5555555555555556,0.6444444444444445,81,0.6666666666666666,0.4666666666666667,0.19999999999999996
48,0.7333333333333333,0.26666666666666666,0.0,0.12154063822096325,0.28888888888888886,0.6888888888888889,79,0.7333333333333333,0.0,0.7333333333333333
49,0.8,0.17777777777777778,0.022222222222222223,0.11208780297543741,0.4,0.9111111111111111,101,0.9333333333333333,0.06666666666666667,0.8666666666666667
50,0.6888888888888889,0.26666666666666666,0.044444444444444446,0.17061090802681433,0.3333333333333333,0.8222222222222222,73,0.6666666666666666,0.13333333333333333,0.5333333333333333
51,0.8444444444444444,0.0,0.15555555555555556,0.13771162505763127,0.7111111111111111,0.8222222222222222,133,1.0,0.3333333333333333,0.6666666666666667
52,0.5555555555555556,0.37777777777777777,0.06666666666666667,0.42733399275730144,0.24444444444444444,0.4888888888888889,46,0.2,0.2,0.0
53,0.6444444444444445,0.35555555555555557,0.0,0.23932507377353612,0.2,0.6888888888888889,63,0.6,0.0,0.6
54,0.8,0.13333333333333333,0.06666666666666667,0.15368154762140226,0.4888888888888889,0.6888888888888889,99,0.8666666666666667,0.2,0.6666666666666667
55,0.4888888888888889,0.4888888888888889,0.022222222222222223,0.5247765456153636,0.08888888888888889,0.9555555555555556,55,0.13333333333333333,0.0,0.13333333333333333
