subj_idx,T_round,actual_dist,actual_R,actual_req,is_heavy,mean_rate,n_trials
7,0.1,2,1.0,0.4,0,0.8774611378064137,5
7,0.1,3,1.0,0.4,0,0.8450566404303977,3
7,0.1,3,5.0,0.9,1,0.931251850367788,2
7,0.5,1,1.0,0.4,0,0.9306433380256636,5
7,0.5,2,1.0,0.4,0,0.8679436074146143,5
7,0.5,3,1.0,0.4,0,0.9449690580076918,5
7,0.9,1,1.0,0.4,0,1.0102146314687297,4
7,0.9,1,5.0,0.9,1,0.8993558456898189,1
7,0.9,2,1.0,0.4,0,0.9655898361539682,5
7,0.9,3,1.0,0.4,0,1.0583277763773515,5
8,0.1,1,1.0,0.4,0,1.01388675169902,3
8,0.1,1,5.0,0.9,1,1.082909455825996,2
8,0.1,2,1.0,0.4,0,0.9728063052825155,3
8,0.1,2,5.0,0.9,1,1.066058264234226,2
8,0.1,3,1.0,0.4,0,1.0496672700233871,2
8,0.1,3,5.0,0.9,1,0.9783915479220338,3
8,0.5,1,1.0,0.4,0,1.0617984459360192,2
8,0.5,1,5.0,0.9,1,0.9733221570852092,3
8,0.5,2,1.0,0.4,0,1.0379185832564204,2
8,0.5,2,5.0,0.9,1,1.005855131390204,3
8,0.5,3,1.0,0.4,0,1.0399848211498843,4
8,0.5,3,5.0,0.9,1,1.060425620048672,1
8,0.9,1,1.0,0.4,0,1.0259609348116554,4
8,0.9,1,5.0,0.9,1,1.0768192317457566,1
8,0.9,2,1.0,0.4,0,1.038204360264836,4
8,0.9,2,5.0,0.9,1,1.073656618610747,1
8,0.9,3,1.0,0.4,0,1.0514273428459835,3
8,0.9,3,5.0,0.9,1,1.1079017586455506,2
9,0.1,1,5.0,0.9,1,1.234983969315294,5
9,0.1,2,5.0,0.9,1,1.1292485449685348,5
9,0.1,3,5.0,0.9,1,1.2192762634547134,5
9,0.5,1,1.0,0.4,0,1.1736409915549866,5
9,0.5,2,1.0,0.4,0,1.0418154906804895,5
9,0.5,3,1.0,0.4,0,1.1215728923732078,5
9,0.9,1,1.0,0.4,0,1.2216611398130937,5
9,0.9,2,1.0,0.4,0,1.2063609374449382,5
9,0.9,3,1.0,0.4,0,1.1597315024176793,5
10,0.1,1,5.0,0.9,1,0.9678712297820736,5
10,0.1,2,1.0,0.4,0,1.0464883193462342,3
10,0.1,2,5.0,0.9,1,0.9387717679394906,2
10,0.1,3,1.0,0.4,0,1.161003702180173,1
10,0.1,3,5.0,0.9,1,1.0722094997982852,4
10,0.5,1,1.0,0.4,0,1.105237899406629,2
10,0.5,1,5.0,0.9,1,1.0835288481056309,3
10,0.5,2,1.0,0.4,0,1.0257454670665291,4
10,0.5,2,5.0,0.9,1,0.942562592047128,1
10,0.5,3,1.0,0.4,0,1.0192416493483365,4
10,0.5,3,5.0,0.9,1,1.0398050365556455,1
10,0.9,1,1.0,0.4,0,1.0500438437989792,2
10,0.9,1,5.0,0.9,1,1.1261897572525303,3
10,0.9,2,1.0,0.4,0,1.0496873023619138,5
10,0.9,3,1.0,0.4,0,1.093253096139912,5
11,0.1,1,5.0,0.9,1,0.9261520847086002,5
11,0.1,2,1.0,0.4,0,0.8681144121813301,3
11,0.1,2,5.0,0.9,1,0.9261520372631484,2
11,0.1,3,1.0,0.4,0,0.9056465935410268,5
11,0.5,1,1.0,0.4,0,0.8549095728582907,1
11,0.5,1,5.0,0.9,1,0.9991666543705188,4
11,0.5,2,1.0,0.4,0,0.9283473299794888,5
11,0.5,3,1.0,0.4,0,0.9427755556266236,5
