subj,lam,kap,cd
1,0.32318628297215407,0.8013981278692948,255.29462268418095
2,0.7317728675137557,2.7304238166777526,7.214491430749936
3,0.26608281896915104,1.553694514757159,46.68168678705518
4,0.2654844428601152,0.5064969909138944,437.59120370071855
5,0.2091115080129934,0.26151469707911246,45.761128567888406
6,0.31165011374190954,0.8210384563046823,218.7300610396785
7,0.2431080402911282,1.052343485281056,463.7208148446263
8,0.4072922448064624,3.3736122603683705,76.76163714234389
9,0.1352761561412257,4.749401713001446,632.2966787242383
10,0.2610618312591082,0.851930323953928,207.00878950828414
11,0.264550905244115,0.8708809931334762,147.7492316284638
12,0.7204888463042309,0.6928325080302282,181.72891209487238
13,0.1610474901410077,0.7378517261122329,67.31057705768835
14,0.2119205252108907,0.5087040831088074,1296.8666162009633
15,0.36409978589174613,4.822497986086036,423.2355607007016
16,0.5863486676269548,6.786758138009082,25.772975860021656
17,0.4447240412164901,0.5232565265882392,29.441695158383276
18,0.20352198300891816,0.705285167858546,309.6891112774169
19,0.3043531204392684,0.6791993465726016,32.3862642808342
20,0.28237956621243376,0.6013525155923253,36.806769481460506
21,0.29691244199490535,0.4955036180633159,421.1488083605573
22,0.2440279221171206,0.43940091484291877,128.05720642287878
23,0.22047719734724458,0.5509499673203946,421.68812940420963
24,0.1348841429546429,0.333233783478594,693.2887537429094
25,0.25941088380623023,0.818603210179489,774.1554153504371
26,0.32500283071645064,1.5157540824036946,222.44949153593242
27,0.28844210910637347,1.3627598444429325,221.17710901980783
28,0.2674005224498039,0.7106197944037247,1031.8760337092538
29,0.4423266016256101,0.19013643243844727,601.6613074738823
30,0.26650698671727874,0.549045064985243,494.59405683870483
31,0.1786464008321291,0.5531475541121309,194.86831719055502
32,0.5590064518996236,2.9225687999305165,26.044548969554047
33,0.27533463642207046,0.31259261312632647,35.112284950900154
34,0.4921588846938336,0.8734814708115268,31.155312686481412
35,1.14726065182792,5.893102862478172,400.69681564090814
36,0.3040926316419701,0.6067379540277545,81.56603066893922
37,0.6429005617275121,4.314442552114612,94.05614910684916
38,0.3102405692592528,0.6483377757785033,488.9818725231873
39,0.19022298476843408,0.1558248917038263,299.6396677218601
40,0.24089611408192715,0.41936972632567837,35.90595549735429
41,0.4279603862237156,3.988590334051166,120.10176248882786
42,0.44271970776253927,0.20356077487795418,348.9813769614418
43,0.6063915496051212,6.634564161034506,105.14586778718343
44,0.4059499534429422,0.749758811110046,32.75055095593851
45,0.4325470014417483,1.326636270842368,66.73568727136035
46,0.3247706083570157,0.8781060028240173,198.6321902760558
47,0.17304735744557403,1.1785229087644706,42.66514608972451
48,0.39204466641154007,0.8475374021622468,114.57362860337489
49,0.2697825407359252,0.6604233798769705,413.86641866567635
50,0.4071418845347315,0.8402796525778905,279.34127206700265
51,0.22809272994224913,0.2579093494483059,572.0996575147262
52,0.3778810653098241,4.627489339183802,83.62268011497494
53,0.3881984214764149,1.256455313239712,120.36735340690116
54,0.24720157656970623,0.6013113693813985,28.591793435820477
55,0.3220038760764151,6.68509183340065,40.66277235317784
56,0.31654480686340203,0.7451722287780965,77.74720536648736
57,0.21912503844402229,2.0970226630267024,15.55734877571632
58,0.2571013328995253,1.0392762734513006,132.8377639446263
59,0.36045341478082576,0.9034345452931928,34.76109230414843
60,0.16054808391345907,0.6270706734167105,28.367410791798957
61,0.26760408573943933,1.723255268705218,53.43336361844674
62,0.18191065001350792,0.1779316111895906,9.517979687682155
63,0.25688547676804846,0.5062373366321946,69.95836142835296
64,0.258123063493333,5.345142342551031,162.16079316319446
65,0.3244284204882787,2.368243951524258,101.93919308442712
66,0.14897661759922493,0.21274248891573386,111.09012570894238
67,0.2274451159276956,0.29526066458800493,12.166871164283434
68,0.28113157757094925,0.35003884593618984,1.4347840443999558
69,0.1925274018329843,0.40810772138764345,134.72386515908403
70,0.3581456530840219,4.806555178314525,47.420997380081104
71,0.218731697247254,1.2387715814025566,27.68957503734887
72,1.1126645799669195,5.974589451997124,387.74054254959805
73,0.3398658146086575,0.9157097850385063,125.11872786649543
74,0.8388401088739815,2.8465310866400495,27.542748607888424
75,0.31767115834753773,0.8199144688003572,62.50551445715798
76,0.14292457655771,2.6366030685937853,21.65975406918158
77,0.5982507378253837,7.067590986323689,1087.2915928474797
78,0.25540842024550814,0.7051162477584355,1412.1386455793538
79,0.16378169458519398,0.23364310801056543,718.3390988974951
