model,effort,loss,bic,acc,r2
M2,effort_reqT,5986.352645992375,20274.157321554485,0.8248275862068966,0.9885471452857123
M2,effort_lqr,6058.596362340029,20418.64475424979,0.8226053639846743,0.9857001511520604
M1,effort_reqT,7772.949156585741,21080.199666217974,0.706360153256705,0.9574888743733356
M1,effort_lqr,7874.672842033614,21283.64703711372,0.7031417624521072,0.9360968917008411
