Model,Params,Loss,BIC_approx,Accuracy,Choice_r2,Best_step,ΔBIC
M3,584,6483.854086391689,18502.009525829868,0.7822222222222223,0.8984297614981699,7406,0.0
M4,584,6673.310895116258,18880.923143279004,0.7786973180076628,0.9322084349080969,32465,378.9136174491359
M2,876,5986.352645992375,20274.157321554485,0.8248275862068966,0.9885471452857123,31787,1772.147795724617
M1,584,7772.949156585741,21080.199666217974,0.706360153256705,0.9574888743733356,37014,2578.1901403881056
M8,1168,5929.137511385903,22926.877728864787,0.824904214559387,0.9860840417519534,12253,4424.868203034919
M6,1168,6064.896031806257,23198.394769705497,0.8186973180076629,0.989266420508285,27600,4696.385243875629
M5,1168,6115.08420131323,23298.77110871944,0.8319540229885057,0.9584569905474049,31959,4796.761582889572
M7,1460,5851.586380656347,25538.92614392892,0.831647509578544,0.9923675734718649,27104,7036.9166180990505
