subj,lam,beta
1,0.23328937157304305,1.944149380393382
2,1.3865422923032436,1.0136790986316044
3,0.3192751435246361,0.9100987134154331
4,0.09013976431486309,6.340506478841815
5,0.045396449462123976,1.6830526709973304
6,0.23440581894467347,1.8683628276607598
7,0.20778556652489236,1.3770805404398125
8,0.8311654950240451,0.7335741422135175
9,0.21466535534935927,0.3934036625744975
10,0.16546833390281904,4.734031702340862
11,0.22138617587852039,1.1558544741983319
12,0.5255374074353015,2.053048596927308
13,0.06724039492594654,2.043938026879303
14,0.07357097182382907,3.5608306426856804
15,0.846556037182672,0.6249910168425842
16,1.8556868175677557,0.5183654300799259
17,0.2422609611491366,2.677830298184444
18,0.10165932602774372,2.195484069168975
19,0.18035605831550724,5.1788230030821945
20,0.14447467034025432,7.856750122335663
21,0.15215883560221127,2.0002140750202693
22,0.06851905294056648,4.730458293279819
23,0.08504152251503008,3.1235094723915773
24,0.022213243358307398,2.614897881810815
25,0.16316383667539383,4.561722660069956
26,0.43169892917923014,0.8744636665299224
27,0.3680336909142648,0.8825589930741969
28,0.15428784234127316,5.702149710715273
29,0.13996202506663086,1.0596394600298167
30,0.1283146287152567,2.7761642481743105
31,0.07336037924142882,1.4008893356532135
32,1.1113944524012767,0.8294066122383357
33,0.0477756714247912,5.69658656285757
34,0.4281333942498194,1.464043314856029
35,3.6816985340790973,0.925475016842997
36,0.18944409993033295,1.847538465183741
37,1.6434188024427605,0.6989887607140646
38,0.19140994765279382,2.000270206334009
39,0.03347053377759471,0.8334432332134882
40,0.07982455529663211,2.115620281772938
41,0.9381683444676332,0.6478500844848757
42,0.16110427426673293,1.0277493979679464
43,1.9459157881303253,0.4753049414923234
44,0.30963508110365817,1.5378833567608523
45,0.4604769679835734,1.439593037773418
46,0.22085453839382876,3.570866551619746
47,0.1367817944418282,0.6857117352014597
48,0.2818107988673396,2.4299497671219705
49,0.15445804512142344,2.3125635938750606
50,0.3218842432622223,1.9180371692592157
51,0.029585432081619505,4.259343751449008
52,0.9700852088981746,0.5813807900943866
53,0.4239526953739383,1.2347596201990245
54,0.14455589325883872,1.6519385752996139
55,1.0644961681088987,0.3744500333439409
56,0.22137445464075697,1.916827417819123
57,0.32552536568597107,0.719343832448132
58,0.22708517179726725,1.3352386806598742
59,0.3158459591404721,1.2943679855684604
60,0.06839404819510848,1.290941108978693
61,0.37919282884496097,0.8030190021817681
62,0.019338021670226302,3.3184643922521606
63,0.08845577831863344,4.5403431226895865
64,0.6736674163903765,0.4691794947907823
65,0.5651874318759957,0.7443460001553602
66,0.019138107807445567,2.8592226980180833
67,0.05607447455910476,1.7381614776706389
68,0.117526894512483,1.7568344063020844
69,0.058847303598690844,1.6781558478860612
70,0.8816549221828276,0.5552724155625803
71,0.22351975612231786,0.9288164975940579
72,3.775510504134678,0.8716659710848254
73,0.2895124665301411,1.5153945140593108
74,1.5911913189716338,1.1145701612350742
75,0.25553737480052624,1.3809020453179393
76,0.15731514133063196,0.5363482328226159
77,2.9671802217345635,0.5852811924555252
78,0.13857028212464928,4.349116431726748
79,0.03103307056045531,1.5445889630987661
80,0.5002974744032174,0.9321417627830161
81,0.11155751943778945,2.0240474655602374
82,0.866793494836696,0.9756507931579581
83,0.011681974127867097,2.585289764887511
84,0.20964652793604066,4.317406013931819
85,0.2810895775400123,2.022665730151695
86,0.02627014738711567,3.657344889491142
87,0.06145038110043143,5.854727718075634
88,0.2968548667076368,2.4147494578287616
89,0.5355314980645842,1.4515805348689588
90,0.06234008890426826,1.2128974712034302
91,0.014795388334367878,2.54551788650728
92,0.05897911658334432,1.4669638828342588
93,0.07855425745794227,0.6468363039781738
94,0.21603674725510963,3.530164791188908
95,0.19092207403999734,3.9856038052248497
96,0.02795543487654917,1.7147109676330883
97,0.03286762449876037,1.807503826176484
98,4.925667432510406,2.2523444935427985
99,0.30940810985845474,2.6355971664498803
100,0.0755804913565955,2.405310506573755
101,0.01933788994250689,2.9741611948038784
102,0.162588161518879,4.438628787987202
103,0.059491017328011424,2.1720001664174413
104,0.7970169112904522,0.5157881860834701
105,0.1785054842268833,5.793847327161853
106,0.06887470475373186,2.131061614687048
107,0.05969739138418753,2.01621656211271
108,0.2471336649851609,2.4287273445830944
109,0.3634605867944187,0.9840483854181925
110,2.571970298758604,0.6638461128665767
111,0.3332239588824802,1.1503106714648113
112,0.19179473188374957,2.585529535508178
113,0.2210653992125156,0.60450847558161
114,0.29273250764283326,0.7996383662953245
115,0.16692448150279499,4.3962125781785355
116,0.2687097525410818,0.7400003896703444
117,1.1560152718331715,0.5814374803500273
118,0.3642232152792092,1.9577346578249146
119,0.8605664109344437,0.7314839746642562
120,0.15277046959258997,3.4522234955108346
